owner	field	offset	size	datatype	header	decision	named_c_uses	reviewed_family	resource_observation	rationale	remaining_evidence	storage_origin	disk_source	transport_paths	alias_audit
KfCameraPathPoint	unknown_1a	0x1a	0x2	s16	include/kf/game_map.h:303	retain_unresolved	none in 101 configured translation variants	GAME/OPEN camera path begin/compute_segment/step	GAME.EXE:map_floor5_camera_path (retail initializer VA 0x800561d0; offsets relative to this datum; n=2; 0000:2); OPEN.EXE:opening_scene0_camera_path (retail initializer VA 0x800354f4; offsets relative to this datum; n=17; 0000:17); OPEN.EXE:opening_scene3_camera_path (retail initializer VA 0x800356d0; offsets relative to this datum; n=3; 0000:3); OPEN.EXE:opening_ending_camera_path (retail initializer VA 0x80035724; offsets relative to this datum; n=9; 0000:9); OPEN.EXE:opening_ending_scroll_camera_path (retail initializer VA 0x80035820; offsets relative to this datum; n=3; 0000:3)	Extent between [s16 speed] and [} KfCameraPathPoint] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.	executable_load_image	GAME map_floor5_camera_path and OPEN opening-scene/ending path arrays in linked program data	Static source initializers model linked point bytes; camera_path_begin/compute_segment and OPEN counterparts traverse 0x1c-byte points and access selected fields; no standalone resource-file grammar is established	Open: named-member census is not cast/arithmetic coverage; no field-specific closure of interior pointers, wide accesses, GP-relative references, indirect calls or unreconstructed consumers.
KfCameraPathState	unknown_5e	0x5e	0x2	s16	include/kf/game_map.h:315	retain_unresolved	none in 101 configured translation variants	GAME/OPEN camera path begin/compute_segment/step	no independent serialized-field value census	Extent between [s16 point_index] and [s32 frames_remaining] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.	runtime_state	No serialized state-record source established; its points pointer selects separate linked camera data	GAME stack/OPEN global interpolators are initialized and stepped from point records; SDK VECTOR/SVECTOR members are accessed by helpers, but do not identify the trailing unknown halfword	Open: named-member census is not cast/arithmetic coverage; no field-specific closure of interior pointers, wide accesses, GP-relative references, indirect calls or unreconstructed consumers.
KfCollisionTarget	unknown_1a	0x1a	0x6	u8[6]	include/kf/game_collision.h:53	retain_unresolved	none in 101 configured translation variants	source declarations/consumers; curated owner/relocation audit only; no dedicated behavioral dossier	no independent serialized-field value census	Extent between [u16 radius] and [} KfCollisionTarget] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.	runtime_state	No direct serialized-field source established for this collision-query owner	GAME collision_target is a shared runtime query/result object; helper pointer and wide-access coverage is not closed for the tail range	Open: named-member census is not cast/arithmetic coverage; no field-specific closure of interior pointers, wide accesses, GP-relative references, indirect calls or unreconstructed consumers.
KfDisplayState	unknown_01	0x1	0x3	u8[3]	include/kf/game_render.h:113	retain_unresolved	none in 101 configured translation variants	source declarations/consumers; curated owner/relocation audit only; no dedicated behavioral dossier	no independent serialized-field value census	Extent between [KfDisplayBuffer buffer_index] and [void *asset_load_buffer] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.	runtime_state	Nested in GAME graphics BSS, not a serialized SDK display record	Complete graphics initialization clears the range; display routines access buffer_index and nested primitive/order-table fields; DRAWENV and DISPENV are separate typed subobjects	Open: named-member census is not cast/arithmetic coverage; no field-specific closure of interior pointers, wide accesses, GP-relative references, indirect calls or unreconstructed consumers.
KfDisplayStateOpen	unknown_01	0x1	0x3	u8[3]	include/kf/open_render.h:29	retain_unresolved	none in 101 configured translation variants	source declarations/consumers; curated owner/relocation audit only; no dedicated behavioral dossier	no independent serialized-field value census	Extent between [KfDisplayBuffer buffer_index] and [void *asset_load_buffer] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.	runtime_state	Nested in OPEN graphics BSS, not a serialized SDK display record	opening_run clears the complete graphics owner; display routines access buffer_index and nested primitive/order-table fields; DRAWENV and DISPENV are separate typed subobjects	Open: named-member census is not cast/arithmetic coverage; no field-specific closure of interior pointers, wide accesses, GP-relative references, indirect calls or unreconstructed consumers.
KfEffectRecord	unknown_0a	0xa	0x2	u16	include/kf/game_effect.h:265	retain_unresolved	none in 101 configured translation variants	GAME effect_pool_construct;effect_pool_spawn_typed;render_effect_sprites	no independent serialized-field value census	Extent between [KfEffectVisualState visual] and [VECTOR position] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.	runtime_state	No direct serialized source for these runtime effect-record gaps	GAME effect_pool_construct uses variadic stack arithmetic and SVECTOR argument copies; those copies target known vector fields, while the record pointer escapes to effect update/render helpers	Open: named-member census is not cast/arithmetic coverage; no field-specific closure of interior pointers, wide accesses, GP-relative references, indirect calls or unreconstructed consumers.
KfEffectRecord	unknown_2a	0x2a	0x2	u16	include/kf/game_effect.h:271	retain_unresolved	none in 101 configured translation variants	GAME effect_pool_construct;effect_pool_spawn_typed;render_effect_sprites	no independent serialized-field value census	Extent between [u16 scale_z] and [KfEffectDirection direction] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.	runtime_state	No direct serialized source for these runtime effect-record gaps	GAME effect_pool_construct uses variadic stack arithmetic and SVECTOR argument copies; those copies target known vector fields, while the record pointer escapes to effect update/render helpers	Open: named-member census is not cast/arithmetic coverage; no field-specific closure of interior pointers, wide accesses, GP-relative references, indirect calls or unreconstructed consumers.
KfEffectSprite	unknown_0c	0xc	0x2	u8[2]	include/kf/game_render.h:104	retain_unresolved	none in 101 configured translation variants	GAME render_effect_sprites	GAME.EXE:effect_sprites (retail initializer VA 0x80055d74; offsets relative to this datum; n=2; 0000:2)	Extent between [s16 translation_z] and [SVECTOR rotation] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.	executable_load_image	GAME effect_sprites initialized data table	Linked initializer provides this range; render_effect_sprites passes nested SDK rotation and known transform fields to rendering helpers; those pointer extents require separate checking	Open: named-member census is not cast/arithmetic coverage; no field-specific closure of interior pointers, wide accesses, GP-relative references, indirect calls or unreconstructed consumers.
KfEffectSprite	unknown_16	0x16	0x2	u8[2]	include/kf/game_render.h:106	retain_unresolved	none in 101 configured translation variants	GAME render_effect_sprites	GAME.EXE:effect_sprites (retail initializer VA 0x80055d74; offsets relative to this datum; n=2; 0000:2)	Extent between [SVECTOR rotation] and [KfPoolRecord *animation_cache] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.	executable_load_image	GAME effect_sprites initialized data table	Linked initializer provides this range; render_effect_sprites passes nested SDK rotation and known transform fields to rendering helpers; those pointer extents require separate checking	Open: named-member census is not cast/arithmetic coverage; no field-specific closure of interior pointers, wide accesses, GP-relative references, indirect calls or unreconstructed consumers.
KfFloorItem	unknown_03	0x3	0x1	u8	include/kf/item.h:224	retain_unresolved	GAME.EXE:item_load_floor_placements;OPEN.EXE:item_load_floor_placements	GAME/OPEN resource loaders;item_load_floor_placements;render traversal;render_floor_item;graphics initialization; raw fixed-base/interior-pointer audit	Source byte copied from 131 active GAME/OPEN placements; values 08/1c/20/40; no independent runtime behavior experiment	Copied from placement +03 in both images; varying serialized values do not establish a behavioral meaning.	Recover an intended behavioral reader or authoritative original format name; loader/render raw paths establish transport only, and this family audit does not close all GP/indirect/uninventoried aliases.	disc_to_runtime_copy	GAME B1..B5/MIXA.DAT chunk 3; OPEN B0/MIXA0. chunk 3; 12-byte placement records; source record +3	12-byte disc placement -> 24-byte runtime item: GAME lbu 0x80020bf4 -> sb 0x80020bfc; OPEN lbu 0x8001988c -> sb 0x80019894, both source+3 -> runtime+3. Resource chunk casts, render-loop interior pointers and complete graphics clears reviewed.	Raw loader/render pointer paths checked in GAME and OPEN: renderer descriptor halfword +0, appearance byte +2, position words +4/+8/+12 and frame byte +20 do not cover +3. Whole-owner startup clear is initialization. No behavioral +3 read found in these traced paths; whole-image GP/indirect/uninventoried alias coverage remains open. See docs/patterns/unknown-field-alias-audit.md.
KfFloorItem	unknown_10	0x10	0x4	u8[4]	include/kf/item.h:228	retain_unresolved	none in 101 configured translation variants	GAME/OPEN item_load_floor_placements	no independent serialized-field value census	Extent between [s32 position_z] and [u8 animation_frame] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.	runtime_expansion	Enclosing records expand GAME/OPEN floor-item placement chunks; only unknown_03 has an established source mapping	GAME/OPEN item_load_floor_placements expand 12-byte placements into 24-byte runtime records; render loops pass an interior item pointer to render_floor_item	Open: named-member census is not cast/arithmetic coverage; no field-specific closure of interior pointers, wide accesses, GP-relative references, indirect calls or unreconstructed consumers.
KfFloorItem	unknown_15	0x15	0x3	u8[3]	include/kf/item.h:230	retain_unresolved	none in 101 configured translation variants	GAME/OPEN item_load_floor_placements	no independent serialized-field value census	Extent between [u8 animation_frame] and [} KfFloorItem] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.	runtime_expansion	Enclosing records expand GAME/OPEN floor-item placement chunks; only unknown_03 has an established source mapping	GAME/OPEN item_load_floor_placements expand 12-byte placements into 24-byte runtime records; render loops pass an interior item pointer to render_floor_item	Open: named-member census is not cast/arithmetic coverage; no field-specific closure of interior pointers, wide accesses, GP-relative references, indirect calls or unreconstructed consumers.
KfFloorItemPlacement	unknown_03	0x3	0x1	u8	include/kf/item.h:213	retain_unresolved	GAME.EXE:item_load_floor_placements;OPEN.EXE:item_load_floor_placements	GAME/OPEN resource loaders;item_load_floor_placements;render traversal;render_floor_item;graphics initialization; raw fixed-base/interior-pointer audit	KF/B1/MIXA.DAT (active chunk 3 placement rows before sentinel/capacity; n=22; 08:1,40:21); KF/B2/MIXA.DAT (active chunk 3 placement rows before sentinel/capacity; n=16; 20:2,40:14); KF/B3/MIXA.DAT (active chunk 3 placement rows before sentinel/capacity; n=51; 1c:6,20:25,40:20); KF/B4/MIXA.DAT (active chunk 3 placement rows before sentinel/capacity; n=2; 20:2); KF/B5/MIXA.DAT (active chunk 3 placement rows before sentinel/capacity; n=26; 20:10,40:16); KF/B0/MIXA0. (OPEN active chunk 3 rows; n=14; 40:14); total 131 active rows; sprite 0/appearance 4 occurs with 1c/20/40	Copied to runtime +03 in both images; shipped values 8/28/32/64 do not establish a behavioral meaning.	Recover an intended behavioral reader or authoritative original format name; loader/render raw paths establish transport only, and this family audit does not close all GP/indirect/uninventoried aliases.	disc_resource	GAME B1..B5/MIXA.DAT chunk 3; OPEN B0/MIXA0. chunk 3; 12-byte placement records	12-byte disc placement -> 24-byte runtime item: GAME lbu 0x80020bf4 -> sb 0x80020bfc; OPEN lbu 0x8001988c -> sb 0x80019894, both source+3 -> runtime+3. Resource chunk casts, render-loop interior pointers and complete graphics clears reviewed.	Raw loader/render pointer paths checked in GAME and OPEN: renderer descriptor halfword +0, appearance byte +2, position words +4/+8/+12 and frame byte +20 do not cover +3. Whole-owner startup clear is initialization. No behavioral +3 read found in these traced paths; whole-image GP/indirect/uninventoried alias coverage remains open. See docs/patterns/unknown-field-alias-audit.md.
KfFloorItemStateOpen	unknown_08	0x8	0x6	u8[6]	include/kf/open_render.h:64	retain_unresolved	none in 101 configured translation variants	OPEN item_load_floor_placements	no independent serialized-field value census	Extent between [KfSpriteMaterial material] and [u16 texture_clut] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.	runtime_state	No direct serialized mapping for these material/count gaps; only nested items expand the floor-item resource	OPEN graphics initialization clears this range; render traversal derives item pointers from the material/count owner; byte-range bounds of those interior pointers must be checked	Open: named-member census is not cast/arithmetic coverage; no field-specific closure of interior pointers, wide accesses, GP-relative references, indirect calls or unreconstructed consumers.
KfFloorItemStateOpen	unknown_14	0x14	0x4	u8[4]	include/kf/open_render.h:68	retain_unresolved	none in 101 configured translation variants	OPEN item_load_floor_placements	no independent serialized-field value census	Extent between [u16 count] and [KfFloorItem items[KF_FLOOR_ITEM_CAPACITY]] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.	runtime_state	No direct serialized mapping for these material/count gaps; only nested items expand the floor-item resource	OPEN graphics initialization clears this range; render traversal derives item pointers from the material/count owner; byte-range bounds of those interior pointers must be checked	Open: named-member census is not cast/arithmetic coverage; no field-specific closure of interior pointers, wide accesses, GP-relative references, indirect calls or unreconstructed consumers.
KfGraphicsRuntimeGame	unknown_20108	0x20108	0x8	u8[8]	include/kf/game_graphics.h:22	retain_unresolved	none in 101 configured translation variants	source declarations/consumers; curated owner/relocation audit only; no dedicated behavioral dossier	no independent serialized-field value census	Extent between [DISPENV display_disp_environments[KF_DISPLAY_BUFFER_COUNT]] and [KfTmdState tmd_state] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.	runtime_state	No standalone serialized source for these graphics-owner intervals	GAME initialization clears the complete graphics region; render/asset/projection routines use nested objects and interior pointers; their capacities and pointer-derived access bounds remain separate proof obligations	Open: named-member census is not cast/arithmetic coverage; no field-specific closure of interior pointers, wide accesses, GP-relative references, indirect calls or unreconstructed consumers.
KfGraphicsRuntimeGame	unknown_201f4	0x201f4	0x30	u8[48]	include/kf/game_graphics.h:25	retain_unresolved	none in 101 configured translation variants	source declarations/consumers; curated owner/relocation audit only; no dedicated behavioral dossier	no independent serialized-field value census	Extent between [KfAssetHeader *asset_registry_entries[KF_ASSET_REGISTRY_KNOWN_ENTRIES]] and [KfPackedSVector *current_tmd_vertices] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.	runtime_state	No standalone serialized source for these graphics-owner intervals	GAME initialization clears the complete graphics region; render/asset/projection routines use nested objects and interior pointers; their capacities and pointer-derived access bounds remain separate proof obligations	Open: named-member census is not cast/arithmetic coverage; no field-specific closure of interior pointers, wide accesses, GP-relative references, indirect calls or unreconstructed consumers.
KfGraphicsRuntimeGame	unknown_241a6	0x241a6	0xa	u8[10]	include/kf/game_graphics.h:31	retain_unresolved	none in 101 configured translation variants	source declarations/consumers; curated owner/relocation audit only; no dedicated behavioral dossier	no independent serialized-field value census	Extent between [u16 effect5_texture_pages[KF_FLOOR5_ACTOR_TEXTURE_COUNT]] and [u16 effect5_texture_cluts[KF_FLOOR5_ACTOR_TEXTURE_COUNT]] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.	runtime_state	No standalone serialized source for these graphics-owner intervals	GAME initialization clears the complete graphics region; render/asset/projection routines use nested objects and interior pointers; their capacities and pointer-derived access bounds remain separate proof obligations	Open: named-member census is not cast/arithmetic coverage; no field-specific closure of interior pointers, wide accesses, GP-relative references, indirect calls or unreconstructed consumers.
KfGraphicsRuntimeGame	unknown_241b6	0x241b6	0xa	u8[10]	include/kf/game_graphics.h:33	retain_unresolved	none in 101 configured translation variants	source declarations/consumers; curated owner/relocation audit only; no dedicated behavioral dossier	no independent serialized-field value census	Extent between [u16 effect5_texture_cluts[KF_FLOOR5_ACTOR_TEXTURE_COUNT]] and [u16 active_render_clut] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.	runtime_state	No standalone serialized source for these graphics-owner intervals	GAME initialization clears the complete graphics region; render/asset/projection routines use nested objects and interior pointers; their capacities and pointer-derived access bounds remain separate proof obligations	Open: named-member census is not cast/arithmetic coverage; no field-specific closure of interior pointers, wide accesses, GP-relative references, indirect calls or unreconstructed consumers.
KfGraphicsRuntimeGame	unknown_241cd	0x241cd	0x1	u8	include/kf/game_graphics.h:40	retain_unresolved	none in 101 configured translation variants	source declarations/consumers; curated owner/relocation audit only; no dedicated behavioral dossier	no independent serialized-field value census	Extent between [u8 hud_brightness] and [u16 notification_text_clut] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.	runtime_state	No standalone serialized source for these graphics-owner intervals	GAME initialization clears the complete graphics region; render/asset/projection routines use nested objects and interior pointers; their capacities and pointer-derived access bounds remain separate proof obligations	Open: named-member census is not cast/arithmetic coverage; no field-specific closure of interior pointers, wide accesses, GP-relative references, indirect calls or unreconstructed consumers.
KfGraphicsRuntimeGame	unknown_241fa	0x241fa	0x6	u8[6]	include/kf/game_graphics.h:50	retain_unresolved	none in 101 configured translation variants	source declarations/consumers; curated owner/relocation audit only; no dedicated behavioral dossier	no independent serialized-field value census	Extent between [u16 floor_item_count] and [KfFloorItem floor_items[KF_FLOOR_ITEM_CAPACITY]] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.	runtime_state	No standalone serialized source for these graphics-owner intervals	GAME initialization clears the complete graphics region; render/asset/projection routines use nested objects and interior pointers; their capacities and pointer-derived access bounds remain separate proof obligations	Open: named-member census is not cast/arithmetic coverage; no field-specific closure of interior pointers, wide accesses, GP-relative references, indirect calls or unreconstructed consumers.
KfGraphicsRuntimeOpen	unknown_20108	0x20108	0x8	u8[8]	include/kf/open_render.h:78	retain_unresolved	none in 101 configured translation variants	source declarations/consumers; curated owner/relocation audit only; no dedicated behavioral dossier	no independent serialized-field value census	Extent between [DISPENV display_disp_environments[KF_DISPLAY_BUFFER_COUNT]] and [KfTmdStateOpen tmd_state] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.	runtime_state	No standalone serialized source for these graphics-owner intervals	OPEN opening_run clears the complete 0x24788-byte graphics owner; render/asset/projection routines use nested objects and interior pointers; the clear does not identify the opaque intervals	Open: named-member census is not cast/arithmetic coverage; no field-specific closure of interior pointers, wide accesses, GP-relative references, indirect calls or unreconstructed consumers.
