# GAME/OPEN source audit against master 6f96b76874dd; see docs/patterns/shared-game-open-code.md.
image	va	name	counterpart_image	counterpart	original_source	source	unit	verdict	reason
GAME.EXE	0x80014b7c	matrix_set_rotation_x	OPEN.EXE	matrix_set_rotation_x	src/game/matrix_rotation.c	src/shared/matrix_rotation.inc	game.matrix_rotation	consolidated	One implementation with per-image bindings; original TU, profile, data owners, and instruction behavior retained.
GAME.EXE	0x80014bec	matrix_set_rotation_y	OPEN.EXE	matrix_set_rotation_y	src/game/matrix_rotation.c	src/shared/matrix_rotation.inc	game.matrix_rotation	consolidated	One implementation with per-image bindings; original TU, profile, data owners, and instruction behavior retained.
GAME.EXE	0x80014c5c	matrix_set_rotation_z	OPEN.EXE	matrix_set_rotation_z	src/game/matrix_rotation.c	src/shared/matrix_rotation.inc	game.matrix_rotation	consolidated	One implementation with per-image bindings; original TU, profile, data owners, and instruction behavior retained.
GAME.EXE	0x80014ccc	matrix_set_rotation_yxz	OPEN.EXE	matrix_set_rotation_yxz	src/game/matrix_rotation.c	src/shared/matrix_rotation.inc	game.matrix_rotation	consolidated	One implementation with per-image bindings; original TU, profile, data owners, and instruction behavior retained.
GAME.EXE	0x80014d34	pitch_yaw_to_forward_vector	OPEN.EXE	pitch_yaw_to_forward_vector	src/game/matrix_rotation.c	src/shared/pitch_yaw_to_forward_vector.inc	game.matrix_rotation	consolidated	One implementation with per-image bindings; original TU, profile, data owners, and instruction behavior retained.
GAME.EXE	0x80014e08	vector2s_scale_shift11			src/game/matrix_rotation.c	src/shared/matrix_rotation.c	game.matrix_rotation	shared-single-image	Reusable math, color, projection, sprite, or diagnostic helper; absence from the other linked image does not imply image-specific ownership.
GAME.EXE	0x80014e48	vector3s_scale_shift12	OPEN.EXE	vector3s_scale_shift12	src/game/matrix_rotation.c	src/shared/vector3s_scale_shift12.inc	game.matrix_rotation	consolidated	One implementation with per-image bindings; original TU, profile, data owners, and instruction behavior retained.
GAME.EXE	0x80014ea4	vector2s_scale_shift12			src/game/matrix_rotation.c	src/shared/matrix_rotation.c	game.matrix_rotation	shared-single-image	Reusable math, color, projection, sprite, or diagnostic helper; absence from the other linked image does not imply image-specific ownership.
GAME.EXE	0x80014ee4	vector3s_scale_shift12_alt	OPEN.EXE	vector3s_scale_shift12_alt	src/game/matrix_rotation.c	src/shared/vector3s_scale_shift12_alt.inc	game.matrix_rotation	consolidated	One implementation with per-image bindings; original TU, profile, data owners, and instruction behavior retained.
GAME.EXE	0x80014f40	vector3i_add_xz			src/game/matrix_rotation.c	src/shared/matrix_rotation.c	game.matrix_rotation	shared-single-image	Reusable math, color, projection, sprite, or diagnostic helper; absence from the other linked image does not imply image-specific ownership.
GAME.EXE	0x80014f6c	angle_within_tolerance	OPEN.EXE	angle_within_tolerance	src/game/matrix_rotation.c	src/shared/angle_within_tolerance.inc	game.matrix_rotation	consolidated	One implementation with per-image bindings; original TU, profile, data owners, and instruction behavior retained.
GAME.EXE	0x80014fa8	angle_mod_delta_le_half_turn	OPEN.EXE	angle_mod_delta_le_half_turn	src/game/matrix_rotation.c	src/shared/angle_mod_delta.inc	game.matrix_rotation	consolidated	One implementation with per-image bindings; original TU, profile, data owners, and instruction behavior retained.
GAME.EXE	0x80014fb8	vector_xz_to_angle	OPEN.EXE	vector_xz_to_angle	src/game/matrix_rotation.c	src/shared/vector_xz_to_angle.inc	game.matrix_rotation	consolidated	One implementation with per-image bindings; original TU, profile, data owners, and instruction behavior retained.
GAME.EXE	0x80015068	fixed_vector2_length	OPEN.EXE	fixed_vector2_length	src/game/matrix_rotation.c	src/shared/fixed_vector2_length.inc	game.matrix_rotation	consolidated	One implementation with per-image bindings; original TU, profile, data owners, and instruction behavior retained.
GAME.EXE	0x800150a8	weapon_records_load_and_mirror_angles			src/game/equipment.c	src/game/equipment.c	game.equipment	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x800150fc	armor_records_load			src/game/equipment.c	src/game/equipment.c	game.equipment	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x80015128	fixed6_ratio_step			src/game/equipment.c	src/game/equipment.c	game.equipment	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x80015164	player_death_begin			src/game/player_death.c	src/game/player_death.c	game.player_death	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x800151cc	game_state_initialize			src/game/player_death.c	src/game/player_death.c	game.player_death	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x800154b0	player_death_restart			src/game/player_death.c	src/game/player_death.c	game.player_death	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x8001564c	player_adjust_hp			src/game/player_death.c	src/game/player_death.c	game.player_death	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x800156bc	player_adjust_mp			src/game/player_death.c	src/game/player_death.c	game.player_death	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x80015714	player_recalculate_combat_stats			src/game/player_death.c	src/game/player_death.c	game.player_death	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x80015f28	player_increment_physical_power_training			src/game/player_death.c	src/game/player_death.c	game.player_death	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x80015fc0	player_increment_magic_training			src/game/player_death.c	src/game/player_death.c	game.player_death	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x80016058	player_add_experience			src/game/player_death.c	src/game/player_death.c	game.player_death	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x8001627c	player_calculate_damage_component			src/game/player_death.c	src/game/player_death.c	game.player_death	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x80016324	player_apply_damage			src/game/player_death.c	src/game/player_death.c	game.player_death	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x800166b4	player_apply_radial_damage			src/game/player_death.c	src/game/player_death.c	game.player_death	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x800167e4	player_select_magic			src/game/player_death.c	src/game/player_death.c	game.player_death	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x80016848	player_set_equipment_slot			src/game/player_core.c	src/game/player_core.c	game.player_core	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x80016a30	player_equip_weapon			src/game/player_core.c	src/game/player_core.c	game.player_core	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x80016b24	player_begin_weapon_attack			src/game/player_core.c	src/game/player_core.c	game.player_core	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x80016bc0	player_update_weapon_attack			src/game/player_core.c	src/game/player_core.c	game.player_core	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x80016e24	game_initialize_session			src/game/player_core.c	src/game/player_core.c	game.player_core	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x80016eb8	player_clear_motion			src/game/player_core.c	src/game/player_core.c	game.player_core	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x80016ee8	player_sync_position_to_map			src/game/player_core.c	src/game/player_core.c	game.player_core	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x80017040	player_distance_to_point_in_cone			src/game/player_core.c	src/game/player_core.c	game.player_core	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x80017108	player_distance_to_point			src/game/player_core.c	src/game/player_core.c	game.player_core	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x800171fc	player_move_horizontal			src/game/player_core.c	src/game/player_core.c	game.player_core	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x80017a24	player_update_view_bob			src/game/player_core.c	src/game/player_core.c	game.player_core	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x80017a80	player_update_vertical_motion			src/game/player_core.c	src/game/player_core.c	game.player_core	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x80017cf8	player_warp_to_floor_entry			src/game/player_core.c	src/game/player_core.c	game.player_core	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x80017e3c	player_update_transform_snapshot			src/game/player_core.c	src/game/player_core.c	game.player_core	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x80017edc	actor_show_info_image			src/game/player_use_item.c	src/game/player_use_item.c	game.player_use_item	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x80017fa4	map_event_show_person_image			src/game/player_use_item.c	src/game/player_use_item.c	game.player_use_item	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x80018054	player_use_item			src/game/player_use_item.c	src/game/player_use_item.c	game.player_use_item	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x800184b0	player_death_apply_visual_fade			src/game/player_death_fade.c	src/game/player_death_fade.c	game.player_death_fade	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x80018540	player_death_update			src/game/player_death_fade.c	src/game/player_death_fade.c	game.player_death_fade	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x800186c4	player_death_update_reverse_fade			src/game/player_death_fade.c	src/game/player_death_fade.c	game.player_death_fade	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x800187a4	lighting_apply_weapon9_environment			src/game/lighting_presets.c	src/game/lighting_presets.c	game.lighting_presets	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x800187f0	lighting_apply_timed_player_effect			src/game/lighting_presets.c	src/game/lighting_presets.c	game.lighting_presets	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x80018824	lighting_apply_color_preset6			src/game/lighting_presets.c	src/game/lighting_presets.c	game.lighting_presets	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x80018858	player_apply_fire_defense_boost			src/game/player_status_effect4.c	src/game/player_status_effect4.c	game.player_status_effect4	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x80018880	player_update			src/game/player_update.c	src/game/player_update.c	game.player_update	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x8001a29c	map_floor_height_for_cell_position			src/game/collision_grid.c	src/game/collision_grid.c	game.collision_grid	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x8001a44c	map_floor_height_at_position			src/game/collision_grid.c	src/game/collision_grid.c	game.collision_grid	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x8001a4e8	collision_adjust_cell_occupancy			src/game/collision_grid.c	src/game/collision_grid.c	game.collision_grid	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x8001a5ac	collision_query_world			src/game/collision.c	src/game/collision.c	game.collision	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x8001aab0	memory_malloc_checked	OPEN.EXE	memory_malloc_checked	src/game/memory.c	src/shared/memory.c	game.memory	already-shared	Existing common allocator implementation relocated from game to shared.
GAME.EXE	0x8001aae8	memory_allocation_reset	OPEN.EXE	memory_allocation_reset	src/game/memory.c	src/shared/memory.c	game.memory	already-shared	Existing common allocator implementation relocated from game to shared.
GAME.EXE	0x8001ab08	memory_set_allocation_mode	OPEN.EXE	memory_set_allocation_mode	src/game/memory.c	src/shared/memory.c	game.memory	already-shared	Existing common allocator implementation relocated from game to shared.
GAME.EXE	0x8001abb0	memory_capture_system_heap_start	OPEN.EXE	memory_capture_system_heap_start	src/game/memory.c	src/shared/memory.c	game.memory	already-shared	Existing common allocator implementation relocated from game to shared.
GAME.EXE	0x8001abd0	memory_reset_system_heap	OPEN.EXE	memory_reset_system_heap	src/game/memory.c	src/shared/memory.c	game.memory	already-shared	Existing common allocator implementation relocated from game to shared.
GAME.EXE	0x8001ac0c	memory_allocate	OPEN.EXE	memory_allocate	src/game/memory.c	src/shared/memory.c	game.memory	already-shared	Existing common allocator implementation relocated from game to shared.
GAME.EXE	0x8001ac8c	memory_release_last	OPEN.EXE	memory_release_last	src/game/memory.c	src/shared/memory.c	game.memory	already-shared	Existing common allocator implementation relocated from game to shared.
GAME.EXE	0x8001acf0	cd_file_load_allocated	OPEN.EXE	cd_file_load_allocated	src/game/cd_file.c	src/game/cd_file.c	game.cd_file	distinct-behavior	GAME owns error-screen and loaded-status handling; OPEN retries/returns differently.
GAME.EXE	0x8001ae60	cd_file_load_table_entry			src/game/cd_file.c	src/game/cd_file.c	game.cd_file	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x8001af9c	cd_file_load_into	OPEN.EXE	cd_file_load_into	src/game/cd_file.c	src/game/cd_file.c	game.cd_file	distinct-behavior	GAME owns error-screen and loaded-status handling; OPEN retries/returns differently.
GAME.EXE	0x8001b100	tim_upload_images	OPEN.EXE	tim_upload_images	src/game/resources.c	src/shared/tim_upload_images.inc	game.resources	consolidated	One implementation with per-image bindings; original TU, profile, data owners, and instruction behavior retained.
GAME.EXE	0x8001b180	common_resources_load			src/game/resources.c	src/game/resources.c	game.resources	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x8001b390	map_resource_path_set_floor			src/game/resources.c	src/game/resources.c	game.resources	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x8001b3a4	map_resource_load_file			src/game/resources.c	src/game/resources.c	game.resources	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x8001b3e4	map_resource_copy_words	OPEN.EXE	resource_stream_copy_words	src/game/resources.c	src/shared/resource_copy_words.inc	game.resources	shared-body-distinct-signatures	One word-copy loop; retain GAME u32 and OPEN s32 counts and curated entry-point names.
GAME.EXE	0x8001b414	map_variant_assets_load			src/game/resources.c	src/game/resources.c	game.resources	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x8001b49c	audio_play_current_map_sequence			src/game/resources.c	src/game/resources.c	game.resources	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x8001b558	map_resources_load	OPEN.EXE	opening_resources_load_scene0	src/game/resources.c	src/game/resources.c	game.resources	distinct-analogue	Different scene/map resource sets, grid ownership, and loading sequence.
GAME.EXE	0x8001b7b0	display_show_system_screen			src/game/render.c	src/game/render.c	game.render	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x8001bab8	lighting_set_active_color_matrix	OPEN.EXE	lighting_set_active_color_matrix	src/game/render.c	src/shared/lighting_color.inc	game.render	consolidated	One implementation with per-image bindings; original TU, profile, data owners, and instruction behavior retained.
GAME.EXE	0x8001bae4	effect5_texture_cache_prepare			src/game/render.c	src/game/render.c	game.render	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x8001bb94	display_initialize	OPEN.EXE	display_initialize	src/game/render.c	src/game/render.c	game.render	distinct-behavior	OPEN has ending-mode reset/interlace/display-mask branches and a different signature.
GAME.EXE	0x8001bce0	render_initialize	OPEN.EXE	render_initialize	src/game/render.c	src/game/render.c	game.render	distinct-behavior	Different scene tables, buffer allocation, palette pools, and initialization extents.
GAME.EXE	0x8001bfb8	display_begin_frame	OPEN.EXE	display_begin_frame	src/game/render.c	src/shared/display_frame.inc	game.render	consolidated	One implementation with per-image bindings; original TU, profile, data owners, and instruction behavior retained.
GAME.EXE	0x8001c050	display_present_frame	OPEN.EXE	display_present_frame	src/game/render.c	src/shared/display_frame.inc	game.render	consolidated	One implementation with per-image bindings; original TU, profile, data owners, and instruction behavior retained.
GAME.EXE	0x8001c0e8	tmd_select	OPEN.EXE	tmd_select	src/game/render.c	src/shared/tmd.inc	game.render	consolidated	One implementation with per-image bindings; original TU, profile, data owners, and instruction behavior retained.
GAME.EXE	0x8001c114	tmd_get_object	OPEN.EXE	tmd_get_object	src/game/render.c	src/shared/tmd.inc	game.render	consolidated	One implementation with per-image bindings; original TU, profile, data owners, and instruction behavior retained.
GAME.EXE	0x8001c138	tmd_set_current_vertices	OPEN.EXE	tmd_set_current_vertices	src/game/render.c	src/shared/tmd.inc	game.render	consolidated	One implementation with per-image bindings; original TU, profile, data owners, and instruction behavior retained.
GAME.EXE	0x8001c148	tmd_select_object_vertices	OPEN.EXE	tmd_select_object_vertices	src/game/render.c	src/shared/tmd.inc	game.render	consolidated	One implementation with per-image bindings; original TU, profile, data owners, and instruction behavior retained.
GAME.EXE	0x8001c184	render_set_view_transform	OPEN.EXE	render_set_view_transform	src/game/render.c	src/shared/tmd.inc	game.render	consolidated	One implementation with per-image bindings; original TU, profile, data owners, and instruction behavior retained.
GAME.EXE	0x8001c2b0	tmd_prepare_primitive_indices	OPEN.EXE	tmd_prepare_primitive_indices	src/game/render.c	src/shared/tmd.inc	game.render	consolidated	One implementation with per-image bindings; original TU, profile, data owners, and instruction behavior retained.
GAME.EXE	0x8001c5b0	tmd_register	OPEN.EXE	tmd_register	src/game/render.c	src/shared/tmd.inc	game.render	consolidated	One implementation with per-image bindings; original TU, profile, data owners, and instruction behavior retained.
GAME.EXE	0x8001c5ec	tmd_release_last_allocation	OPEN.EXE	tmd_release_last_allocation	src/game/render.c	src/shared/tmd.inc	game.render	consolidated	One implementation with per-image bindings; original TU, profile, data owners, and instruction behavior retained.
GAME.EXE	0x8001c60c	tmd_project_vertices	OPEN.EXE	tmd_project_vertices	src/game/render.c	src/game/render.c	game.render	distinct-behavior	OPEN checks capacity and uses a runtime perspective shift; GAME uses a fixed shift.
GAME.EXE	0x8001c6a8	tmd_project_vertices_shift	OPEN.EXE	tmd_project_vertices_shift	src/game/render.c	src/shared/tmd_transform.inc	game.render	consolidated	One implementation with per-image bindings; original TU, profile, data owners, and instruction behavior retained.
GAME.EXE	0x8001c754	tmd_transform_vertices	OPEN.EXE	tmd_transform_vertices	src/game/render.c	src/shared/tmd_transform.inc	game.render	consolidated	One implementation with per-image bindings; original TU, profile, data owners, and instruction behavior retained.
GAME.EXE	0x8001c7f8	render_enqueue_tmd	OPEN.EXE	render_enqueue_tmd	src/game/render_enqueuers.c	src/game/render_enqueuers.c	game.render_enqueue	distinct-behavior	Different primitive allocation and polygon emission paths; preserve both bodies.
GAME.EXE	0x8001d730	render_enqueue_model			src/game/render_enqueuers.c	src/game/render_enqueuers.c	game.render_enqueue	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x8001de18	render_enqueue_map	OPEN.EXE	render_enqueue_map	src/game/render_enqueuers.c	src/game/render_enqueuers.c	game.render_enqueue	distinct-behavior	Different primitive allocation and emission paths; preserve both bodies.
GAME.EXE	0x8001e230	render_enqueue_sprite	OPEN.EXE	render_enqueue_sprite	src/game/render_enqueuers.c	src/game/render_enqueuers.c	game.render_enqueue	distinct-behavior	Different allocation failure path and material owners; preserve both bodies.
GAME.EXE	0x8001e480	render_screen_sprite			src/game/render_sprite.c	src/game/render_sprite.c	game.render_sprite	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x8001e5ec	render_map_cell	OPEN.EXE	render_map_cell	src/game/render_map_cells.c	src/game/render_map_cells.c	game.render_map_cells	distinct-behavior	GAME applies illusion-staff mesh remapping; OPEN does not. Visibility parameter promotions also differ.
GAME.EXE	0x8001e83c	render_map_cells	OPEN.EXE	opening_render_map_cells	src/game/render_map_cells.c	src/game/render_map_cells.c	game.render_map_cells	distinct-analogue	OPEN selects an authored scene/yaw window; GAME supports gameplay window selection and a fixed window.
GAME.EXE	0x8001e9a4	render_actor			src/game/entity_model_render.c	src/game/entity_model_render.c	game.entity_model_render	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x8001ebb8	render_map_object	OPEN.EXE	opening_entity_render	src/game/entity_model_render.c	src/game/entity_model_render.c	game.entity_model_render	distinct-analogue	Different entity record types and scene/gameplay rendering decisions.
GAME.EXE	0x8001ed38	menu_render_item_model			src/game/entity_model_render.c	src/game/entity_model_render.c	game.entity_model_render	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x8001ed90	render_floor_item	OPEN.EXE	render_floor_item	src/game/entity_render.c	src/shared/floor_item_render.inc	game.entity_render	consolidated	One implementation with per-image bindings; original TU, profile, data owners, and instruction behavior retained.
GAME.EXE	0x8001eedc	render_actor_sprite			src/game/entity_render.c	src/game/entity_render.c	game.entity_render	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x8001f0c4	render_map_event			src/game/map_event_render.c	src/game/map_event_render.c	game.map_event_render	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x8001f218	render_entities			src/game/render_scene.c	src/game/render_scene.c	game.render_scene	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x8001f798	render_weapon			src/game/geometry_render.c	src/game/geometry_render.c	game.geometry_render	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x8001f8b0	render_effect_sprites			src/game/geometry_render.c	src/game/geometry_render.c	game.geometry_render	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x8001f9d4	render_hud_gauges			src/game/geometry_render.c	src/game/geometry_render.c	game.geometry_render	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x8001fa44	notify_enqueue			src/game/geometry_render.c	src/game/geometry_render.c	game.geometry_render	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x8001fae4	notification_digit_set_v			src/game/geometry_render.c	src/game/geometry_render.c	game.geometry_render	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x8001fafc	notify_effect_update			src/game/geometry_render.c	src/game/geometry_render.c	game.geometry_render	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x8001fdc8	display_flip_buffer_index			src/game/geometry_render.c	src/game/geometry_render.c	game.geometry_render	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x8001fde4	render_frame			src/game/render_frame.c	src/game/render_frame.c	game.render_frame	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x800202fc	matrix_interpolate	OPEN.EXE	matrix_interpolate	src/shared/matrix_lerp.c	src/shared/matrix_lerp.c	game.matrix_lerp	already-shared	Existing common implementation retained.
GAME.EXE	0x80020364	lighting_set_color_matrix	OPEN.EXE	lighting_set_color_matrix	src/shared/matrix_lerp.c	src/shared/matrix_lerp.c	game.matrix_lerp	already-shared	Existing common implementation retained.
GAME.EXE	0x80020390	lighting_set_light_matrix	OPEN.EXE	lighting_set_light_matrix	src/shared/matrix_lerp.c	src/shared/matrix_lerp.c	game.matrix_lerp	already-shared	Existing common implementation retained.
GAME.EXE	0x800203bc	fog_interpolate_near	OPEN.EXE	fog_interpolate_near	src/game/matrix.c	src/shared/fog.inc	game.matrix	consolidated	One implementation with per-image bindings; original TU, profile, data owners, and instruction behavior retained.
GAME.EXE	0x80020400	fog_set_near	OPEN.EXE	fog_set_near	src/game/matrix.c	src/shared/fog.inc	game.matrix	consolidated	One implementation with per-image bindings; original TU, profile, data owners, and instruction behavior retained.
GAME.EXE	0x80020428	color_lerp_rgb555	OPEN.EXE	color_lerp_rgb555	src/game/color_lerp_rgb555.c	src/shared/color_lerp_rgb555.inc	game.color_lerp_rgb555	consolidated	One implementation with per-image bindings; original TU, profile, data owners, and instruction behavior retained.
GAME.EXE	0x800204c0	asset_registry_load_tmd_archive			src/game/asset_registry.c	src/game/asset_registry.c	game.asset_registry	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x8002055c	asset_registry_set			src/game/asset_registry.c	src/game/asset_registry.c	game.asset_registry	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
GAME.EXE	0x8002059c	asset_registry_select			src/game/asset_registry.c	src/game/asset_registry.c	game.asset_registry	image-specific	GAME gameplay/state implementation with no equivalent OPEN body in the complete source comparison.
