# MANUALLY MANAGED - semantic WIP identities for globals/statics in load and BSS storage.
# Strings retain their decoded content in data.tsv; unclassified coverage gaps are excluded.
# Address-only DAT_ names and unknown scope are unresolved, not semantic claims.
# Directly accessed Ghidra RAM extents are merged address-only BSS candidates.
# Future analysis writes build/function-inventory proposals and never overwrites this file.
image	va	size	name	scope	storage	datatype	owner	confidence	evidence	note
GAME.EXE	0x80012034	0x4	DAT_80012034	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012038	0x4	DAT_80012038	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x8001203c	0x4	DAT_8001203c	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012040	0x4	DAT_80012040	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012044	0x4	DAT_80012044	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012048	0x4	DAT_80012048	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x8001204c	0x4	DAT_8001204c	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012050	0x4	DAT_80012050	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012054	0x4	DAT_80012054	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012058	0x4	DAT_80012058	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x8001205c	0x4	DAT_8001205c	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012060	0x4	DAT_80012060	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012064	0x4	DAT_80012064	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012068	0x4	DAT_80012068	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x8001206c	0x4	DAT_8001206c	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012070	0x4	DAT_80012070	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012074	0x4	DAT_80012074	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012078	0x4	DAT_80012078	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x8001207c	0x4	DAT_8001207c	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012080	0x4	DAT_80012080	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012084	0x4	DAT_80012084	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012088	0x4	DAT_80012088	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x8001208c	0x4	DAT_8001208c	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012090	0x4	DAT_80012090	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012094	0x4	DAT_80012094	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012098	0x4	DAT_80012098	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x8001209c	0x4	DAT_8001209c	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800120a0	0x4	DAT_800120a0	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800120a4	0x4	DAT_800120a4	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800120a8	0x4	DAT_800120a8	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800120ac	0x4	DAT_800120ac	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800120b0	0x4	DAT_800120b0	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800120b4	0x4	DAT_800120b4	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800120b8	0x4	DAT_800120b8	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800120bc	0x4	DAT_800120bc	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800120c0	0x4	DAT_800120c0	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800120c4	0x4	DAT_800120c4	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800120c8	0x4	DAT_800120c8	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800120d0	0x4	DAT_800120d0	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800120d4	0x4	DAT_800120d4	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800120d8	0x4	DAT_800120d8	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800120dc	0x4	DAT_800120dc	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800120e0	0x4	DAT_800120e0	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800120e4	0x4	DAT_800120e4	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800120e8	0x4	DAT_800120e8	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800120ec	0x4	DAT_800120ec	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800120f0	0x4	DAT_800120f0	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800120f4	0x4	DAT_800120f4	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800120f8	0x4	DAT_800120f8	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800120fc	0x4	DAT_800120fc	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012100	0x4	DAT_80012100	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012104	0x4	DAT_80012104	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012108	0x4	DAT_80012108	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x8001210c	0x4	DAT_8001210c	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012110	0x4	DAT_80012110	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012114	0x4	DAT_80012114	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012118	0x4	DAT_80012118	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x8001211c	0x4	DAT_8001211c	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012120	0x4	DAT_80012120	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012124	0x4	DAT_80012124	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012128	0x4	DAT_80012128	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x8001212c	0x4	DAT_8001212c	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012130	0x4	DAT_80012130	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012134	0x4	DAT_80012134	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012138	0x4	DAT_80012138	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x8001213c	0x4	DAT_8001213c	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012140	0x4	DAT_80012140	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012144	0x4	DAT_80012144	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012148	0x4	DAT_80012148	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x8001214c	0x4	DAT_8001214c	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012150	0x4	DAT_80012150	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012154	0x4	DAT_80012154	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012158	0x4	DAT_80012158	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x8001215c	0x4	DAT_8001215c	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012160	0x4	DAT_80012160	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012164	0x4	DAT_80012164	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012168	0x4	DAT_80012168	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x8001216c	0x4	DAT_8001216c	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012170	0x4	DAT_80012170	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012174	0x4	DAT_80012174	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012198	0x1	DAT_80012198	unknown	load	undefined1		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800121b4	0x4	DAT_800121b4	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800121b8	0x4	DAT_800121b8	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800121bc	0x4	DAT_800121bc	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800121c0	0x4	DAT_800121c0	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800121c4	0x4	DAT_800121c4	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800121c8	0x4	DAT_800121c8	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800121cc	0x4	DAT_800121cc	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800121d0	0x4	DAT_800121d0	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800121d4	0x4	DAT_800121d4	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800121d8	0x4	DAT_800121d8	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800121dc	0x4	DAT_800121dc	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800121e0	0x4	DAT_800121e0	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800121e4	0x4	DAT_800121e4	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800121e8	0x4	DAT_800121e8	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800121ec	0x4	DAT_800121ec	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800121f0	0x4	DAT_800121f0	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800121f4	0x4	DAT_800121f4	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800121f8	0x4	DAT_800121f8	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800121fc	0x4	DAT_800121fc	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012200	0x4	DAT_80012200	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012204	0x4	DAT_80012204	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012208	0x4	DAT_80012208	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x8001220c	0x4	DAT_8001220c	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012210	0x4	DAT_80012210	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012214	0x4	DAT_80012214	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012218	0x4	DAT_80012218	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x8001221c	0x4	DAT_8001221c	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012220	0x4	DAT_80012220	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012224	0x4	DAT_80012224	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x8001222c	0x4	DAT_8001222c	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012230	0x4	DAT_80012230	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012234	0x4	DAT_80012234	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012238	0x4	DAT_80012238	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x8001223c	0x4	DAT_8001223c	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012240	0x4	DAT_80012240	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012244	0x4	DAT_80012244	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012248	0x4	DAT_80012248	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x8001224c	0x4	DAT_8001224c	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012250	0x4	DAT_80012250	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012254	0x4	DAT_80012254	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012258	0x4	DAT_80012258	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x8001225c	0x4	DAT_8001225c	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012260	0x4	DAT_80012260	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012264	0x4	DAT_80012264	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012268	0x4	DAT_80012268	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x8001226c	0x4	DAT_8001226c	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012270	0x4	DAT_80012270	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012274	0x4	DAT_80012274	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012278	0x4	DAT_80012278	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x8001227c	0x4	DAT_8001227c	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012280	0x4	DAT_80012280	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012284	0x4	DAT_80012284	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012288	0x4	DAT_80012288	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x8001228c	0x4	DAT_8001228c	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012290	0x4	DAT_80012290	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012294	0x4	DAT_80012294	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012298	0x4	DAT_80012298	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x8001229c	0x4	DAT_8001229c	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800122b4	0x1	DAT_800122b4	unknown	load	undefined1		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800122c4	0x4	DAT_800122c4	unknown	load	undefined4		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800122c8	0x4	DAT_800122c8	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800122cc	0x4	DAT_800122cc	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800122d0	0x4	DAT_800122d0	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800122d4	0x4	DAT_800122d4	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800122d8	0x4	DAT_800122d8	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800122dc	0x4	DAT_800122dc	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800122e0	0x4	DAT_800122e0	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800122ec	0x4	DAT_800122ec	unknown	load	undefined4		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800122f0	0x4	DAT_800122f0	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800122f4	0x4	DAT_800122f4	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800122f8	0x4	DAT_800122f8	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x800122fc	0x4	DAT_800122fc	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012300	0x4	DAT_80012300	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012304	0x4	DAT_80012304	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012308	0x4	DAT_80012308	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x8001230c	0x4	DAT_8001230c	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012310	0x4	DAT_80012310	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012314	0x4	DAT_80012314	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012318	0x4	DAT_80012318	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x8001231c	0x4	DAT_8001231c	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012320	0x4	DAT_80012320	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012324	0x4	DAT_80012324	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012328	0x4	DAT_80012328	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x8001232c	0x4	DAT_8001232c	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012330	0x4	DAT_80012330	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012334	0x4	DAT_80012334	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012338	0x4	DAT_80012338	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x8001233c	0x4	DAT_8001233c	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012340	0x4	DAT_80012340	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012344	0x4	DAT_80012344	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012348	0x4	DAT_80012348	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x8001234c	0x4	DAT_8001234c	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012359	0x1	DAT_80012359	unknown	load	undefined1		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x8001235c	0x4	DAT_8001235c	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012360	0x4	DAT_80012360	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012364	0x4	DAT_80012364	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012368	0x4	DAT_80012368	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x8001236c	0x4	DAT_8001236c	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012370	0x4	DAT_80012370	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012374	0x4	DAT_80012374	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012378	0x4	DAT_80012378	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x8001237c	0x4	DAT_8001237c	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012380	0x4	DAT_80012380	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012384	0x4	DAT_80012384	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012388	0x4	DAT_80012388	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x8001238c	0x4	DAT_8001238c	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012390	0x4	DAT_80012390	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
GAME.EXE	0x80012394	0x4	DAT_80012394	unknown	load	pointer		address-only	data.tsv:ghidra-defined	unresolved global/static candidate
