# MANUALLY MANAGED - exact target offsets/extents for every field in structures.tsv.
# opaque means the byte range is modeled for layout but has no supported semantic meaning yet.
structure	offset	size	name	datatype	meaning_confidence	evidence	note
KfActorActionProfile	0x00	0x02	far_distance	s16	supported	semantic_types.h;asm;xrefs	far distance threshold
KfActorActionProfile	0x02	0x02	far_weight	s16	supported	semantic_types.h;asm;xrefs	far action weight
KfActorActionProfile	0x04	0x02	near_distance	s16	supported	semantic_types.h;asm;xrefs	near distance threshold
KfActorActionProfile	0x06	0x02	middle_weight	s16	supported	semantic_types.h;asm;xrefs	middle action weight
KfActorActionProfile	0x08	0x02	near_weight	s16	supported	semantic_types.h;asm;xrefs	near action weight
KfActorDefinition	0x00	0x03	unknown_00	u8[3]	opaque	semantic_types.h;asm;actor_update_effect_action;actor_move_along_heading;actor_update_boss_death_sequence	meaning unresolved
KfActorDefinition	0x03	0x01	status_effect	u8	supported	semantic_types.h;asm;actor_update_effect_action;actor_move_along_heading;actor_update_boss_death_sequence	status effect flags passed to player_apply_damage by actor_try_attack_player
KfActorDefinition	0x04	0x01	status_effect_chance	u8	supported	semantic_types.h;asm;actor_update_effect_action;actor_move_along_heading;actor_update_boss_death_sequence	per-hit chance out of 256 compared with rand() >> 7; zero disables
KfActorDefinition	0x05	0x08	action_parameters	u8[8]	supported	semantic_types.h;asm;actor_update_effect_action;actor_move_along_heading;actor_update_boss_death_sequence	per special action byte: effect code for actor_spawn_action_effect, profile index (entries 0..2) and chance (entries 3..5) for actor_select_next_action
KfActorDefinition	0x0d	0x01	move_speed	u8	supported	semantic_types.h;asm;actor_update_effect_action;actor_move_along_heading;actor_update_boss_death_sequence	scale applied to the forward vector by actor_move_along_heading
KfActorDefinition	0x0e	0x10	action_animations	u8[16]	supported	semantic_types.h;asm;actor_update_effect_action;actor_move_along_heading;actor_update_boss_death_sequence	animation id per action index (action - 2); entries 3 and 4 are the hit and death animations, 0xff means none
KfActorDefinition	0x1e	0x01	turn_rate	u8	supported	semantic_types.h;asm;actor_update_effect_action;actor_move_along_heading;actor_update_boss_death_sequence	angle_approach step for actor_move_along_heading; halved-and-a-half while colliding
KfActorDefinition	0x1f	0x09	sounds	SoundRef[3]	supported	semantic_types.h;asm;actor_update_current_action	three sound refs handed to actor_play_sound_at_phase at 0x1f, 0x22 and 0x25
KfActorDefinition	0x28	0x0c	attachment_offsets	KfVec3s[2]	supported	semantic_types.h;asm;actor_spawn_action_effect	effect attachment offsets rotated by the actor angles; indexed by the attachment index
KfActorDefinition	0x34	0x02	unknown_34	s16	opaque	semantic_types.h;asm;actor_select_next_action	chance passed for ground action 0x10 and distance-facing action 0x11
KfActorDefinition	0x36	0x02	unknown_36	s16	opaque	semantic_types.h;asm;actor_select_next_action	distance scale passed for distance-facing action 0x11
KfActorDefinition	0x38	0x02	unknown_38	u8[2]	opaque	semantic_types.h;asm;actor_select_next_action	meaning unresolved
KfActorDefinition	0x3a	0x20	action_animation_steps	u16[16]	supported	semantic_types.h;asm;actor_update_effect_action;actor_move_along_heading;actor_update_boss_death_sequence	animation step per action index; the boss death sequence keys effects on entry 4
KfActorDefinition	0x5a	0x20	action_animation_phases	u16[16]	supported	semantic_types.h;asm;actor_update_effect_action;actor_move_along_heading;actor_update_boss_death_sequence	animation phase threshold per action index
KfActorDefinition	0x7a	0x02	collision_radius	u16	supported	semantic_types.h;asm;xrefs	collision radius
KfActorDefinition	0x7c	0x02	collision_height	u16	supported	semantic_types.h;asm;xrefs	collision height
KfActorDefinition	0x7e	0x02	awareness_distance	u16	supported	semantic_types.h;asm;xrefs	awareness range
KfActorDefinition	0x80	0x02	initial_health	u16	supported	semantic_types.h;asm;xrefs	spawn health
KfActorDefinition	0x82	0x02	unknown_82	u16	opaque	semantic_types.h;asm;xrefs	halfword handed to effect_pool_construct as the first argument by actor_spawn_action_effect
KfActorDefinition	0x84	0x02	experience_reward	u16	supported	semantic_types.h;asm;xrefs	passed to player_add_experience when the actor dies
KfActorDefinition	0x86	0x06	attack_components	u16[3]	supported	semantic_types.h;asm;xrefs	three attack components
KfActorDefinition	0x8c	0x0a	defenses	u16[5]	supported	semantic_types.h;asm;xrefs	five defense components
KfActorDefinition	0x96	0x02	unknown_96	u16	opaque	semantic_types.h;asm;xrefs	halfword scaling the random debris count in actor_update_current_action
KfActorPlacement	0x00	0x01	slot_state	u8	supported	semantic_types.h;asm;actor_pool_load_placements	copied to KfActor.slot_state; 0xff ends the placement list
KfActorPlacement	0x01	0x01	definition_flags	u8	supported	semantic_types.h;asm;actor_pool_load_placements	low five bits are the definition id, bit 5 the variant flag
KfActorPlacement	0x02	0x01	heading_quadrant	u8	supported	semantic_types.h;asm;actor_pool_load_placements	copied to KfActor.heading_quadrant
KfActorPlacement	0x03	0x01	tile_z	u8	supported	semantic_types.h;asm;actor_pool_load_placements	map tile z
KfActorPlacement	0x04	0x01	tile_x	u8	supported	semantic_types.h;asm;actor_pool_load_placements	map tile x
KfActorPlacement	0x05	0x01	unknown_05	u8	opaque	semantic_types.h;asm;actor_pool_load_placements	copied to KfActor.unknown_07
KfActorPlacement	0x06	0x01	unknown_06	u8	opaque	semantic_types.h;asm;actor_pool_load_placements	copied to KfActor.unknown_09
KfActorPlacement	0x07	0x03	unknown_07	u8[3]	opaque	semantic_types.h;asm;actor_pool_load_placements	not read by the loader
KfActorPlacement	0x0a	0x02	local_z	s16	supported	semantic_types.h;asm;actor_pool_load_placements	local offset along z
KfActorPlacement	0x0c	0x02	local_x	s16	supported	semantic_types.h;asm;actor_pool_load_placements	local offset along x
KfActorPlacement	0x0e	0x02	unknown_0e	u8[2]	opaque	semantic_types.h;asm;actor_pool_load_placements	not read by the loader
KfActorState	0x0000	0x720	definitions	KfActorDefinition[12]	supported	semantic_types.h;asm;xrefs	map-loaded actor definitions
KfActorState	0x0720	0x2400	actors	KfActor[128]	supported	semantic_types.h;asm;xrefs	live actor records
KfActorState	0x2b20	0x10	player_position	VECTOR	supported	semantic_types.h;asm;xrefs	player position snapshot copied each frame
KfActorState	0x2b30	0x08	player_rotation	SVECTOR	supported	semantic_types.h;asm;xrefs	player rotation snapshot copied each frame
KfActorState	0x2b38	0x04	current_definition	KfActorDefinition *	supported	semantic_types.h;asm;xrefs	definition of the actor being updated
KfActorState	0x2b3c	0x04	current	KfActor *	supported	semantic_types.h;asm;xrefs	actor being updated
KfActorState	0x2b40	0x02	current_index	u16	supported	semantic_types.h;asm;xrefs	index of the actor being updated
KfActorState	0x2b42	0x02	current_definition_id	u16	supported	semantic_types.h;asm;xrefs	definition id of the actor being updated
KfActorState	0x2b44	0x04	player_target	KfActor *	supported	semantic_types.h;asm;xrefs	actor targeted by the player
KfArmorRecord	0x00	0x02	unknown_00	u16	opaque	asm;player_recalculate_combat_stats	meaning unresolved
KfArmorRecord	0x02	0x02	defense_component0	u16	supported	asm;player_recalculate_combat_stats	added twice to damage_defense_component0
KfArmorRecord	0x04	0x02	defense_component1	u16	supported	asm;player_recalculate_combat_stats	added to damage_defense_component1
KfArmorRecord	0x06	0x02	defense_component2	u16	supported	asm;player_recalculate_combat_stats	added to damage_defense_component2
KfArmorRecord	0x08	0x02	status_effect2_resistance	u16	supported	asm;player_recalculate_combat_stats	added to status_effect2_resistance
KfArmorRecord	0x0a	0x02	defense_component3	u16	supported	asm;player_recalculate_combat_stats	added to damage_defense_component3
KfArmorRecord	0x0c	0x02	defense_component4	u16	supported	asm;player_recalculate_combat_stats	added to damage_defense_component4
KfArmorRecord	0x0e	0x02	hp_regen_interval	u16	supported	asm;player_update	nonzero: player_adjust_hp(1) every N frames of player_state.unknown_58
KfArmorRecord	0x10	0x02	hp_drain_interval	u16	supported	asm;player_update	nonzero: player_adjust_hp(-1) every N frames of player_state.unknown_58
KfArmorRecord	0x12	0x0a	unknown_12	u8[10]	opaque	asm;player_recalculate_combat_stats	meaning unresolved
KfAudioState	0x00	0x04	vab_header	u8 *	supported	semantic_types.h;asm;xrefs	loaded VAB header pointer
KfAudioState	0x04	0x02	active_vab_id	s16	supported	semantic_types.h;asm;xrefs	active VAB identifier; minus one after close
KfAudioState	0x06	0x02	unknown_06	u8[2]	opaque	semantic_types.h;asm;xrefs	padding or unresolved
KfAudioState	0x08	0x04	sequence_buffer	u8 *	supported	semantic_types.h;asm;xrefs	allocated SEQ buffer
KfAudioState	0x0c	0x02	sequence_id	s16	supported	semantic_types.h;asm;xrefs	open sequence identifier
KfAudioState	0x0e	0x02	unknown_0e	u8[2]	opaque	semantic_types.h;asm;xrefs	padding or unresolved
KfAudioState	0x10	0x04	sequence_active	s32	supported	semantic_types.h;asm;xrefs	one while a map sequence plays
KfAudioState	0x14	0x10	listener_position	VECTOR	supported	semantic_types.h;asm;xrefs	listener position for spatial voices
KfAudioState	0x24	0x08	listener_rotation	SVECTOR	supported	semantic_types.h;asm;xrefs	listener rotation for spatial voices
KfAudioState	0x2c	0x64	voice_slots	KfAudioVoiceSlots	supported	semantic_types.h;asm;xrefs	ten voice slots
KfAudioVoiceSlots	0x00	0x14	voice_ids	s16[10]	supported	semantic_types.h;asm;xrefs	active voice IDs
KfAudioVoiceSlots	0x14	0x14	vab_ids	s16[10]	supported	semantic_types.h;asm;xrefs	VAB IDs
KfAudioVoiceSlots	0x28	0x14	programs	s16[10]	supported	semantic_types.h;asm;xrefs	program numbers
KfAudioVoiceSlots	0x3c	0x14	tones	s16[10]	supported	semantic_types.h;asm;xrefs	tone numbers
KfAudioVoiceSlots	0x50	0x14	notes	s16[10]	supported	semantic_types.h;asm;xrefs	note numbers
KfCameraPathPoint	0x00	0x10	position	VECTOR	supported	semantic_types.h;asm;xrefs	path position
KfCameraPathPoint	0x10	0x08	rotation	SVECTOR	supported	semantic_types.h;asm;xrefs	path rotation
KfCameraPathPoint	0x18	0x02	speed	s16	supported	semantic_types.h;asm;xrefs	segment speed
KfCameraPathPoint	0x1a	0x02	unknown_1a	s16	opaque	semantic_types.h;asm;xrefs	meaning unresolved
KfCameraPathState	0x00	0x04	points	KfCameraPathPoint *	supported	semantic_types.h;asm;xrefs	path point cursor/base
KfCameraPathState	0x04	0x10	position	VECTOR	supported	semantic_types.h;asm;xrefs	current integer position
KfCameraPathState	0x14	0x08	rotation	SVECTOR	supported	semantic_types.h;asm;xrefs	current integer rotation
KfCameraPathState	0x1c	0x10	position_fixed	VECTOR	supported	semantic_types.h;asm;xrefs	fixed-point position
KfCameraPathState	0x2c	0x10	rotation_fixed	VECTOR	supported	semantic_types.h;asm;xrefs	fixed-point rotation
KfCameraPathState	0x3c	0x10	position_delta	VECTOR	supported	semantic_types.h;asm;xrefs	per-frame position delta
KfCameraPathState	0x4c	0x10	rotation_delta	VECTOR	supported	semantic_types.h;asm;xrefs	per-frame rotation delta
KfCameraPathState	0x5c	0x02	point_index	s16	supported	semantic_types.h;asm;xrefs	current path point index
KfCameraPathState	0x5e	0x02	unknown_5e	s16	opaque	semantic_types.h;asm;xrefs	meaning unresolved
KfCameraPathState	0x60	0x04	frames_remaining	s32	supported	semantic_types.h;asm;xrefs	segment frame countdown
KfCdFileEntry	0x00	0x01	minute	u8	supported	semantic_types.h;asm;func_8001ae60;LIBCD.H	CdlLOC minute of the file
KfCdFileEntry	0x01	0x01	second	u8	supported	semantic_types.h;asm;func_8001ae60;LIBCD.H	CdlLOC second of the file
KfCdFileEntry	0x02	0x01	sector	u8	supported	semantic_types.h;asm;func_8001ae60;LIBCD.H	CdlLOC sector of the file
KfCdFileEntry	0x03	0x01	track	u8	supported	semantic_types.h;asm;func_8001ae60;LIBCD.H	CdlLOC track of the file
KfCdFileEntry	0x04	0x04	size	u32	supported	semantic_types.h;asm;func_8001ae60;LIBCD.H	file size in bytes; func_8001ae60 reads it as the CdRead sector count
KfCdFileEntry	0x08	0x0c	name	u8[12]	supported	semantic_types.h;asm;func_8001ae60;LIBCD.H	file name; 12 bytes as in the older CdlFILE layout
KfCollisionTarget	0x00	0x10	position	VECTOR	supported	semantic_types.h;game_semantic_player_interactions.tsv;asm;xrefs	transform position copied from the selected player, actor, map object, or map event
KfCollisionTarget	0x10	0x08	rotation	SVECTOR	supported	semantic_types.h;game_semantic_player_interactions.tsv;asm;xrefs	transform rotation copied from the selected collision owner
KfCollisionTarget	0x18	0x02	radius	u16	supported	semantic_types.h;game_semantic_player_interactions.tsv;asm;xrefs	collision radius selected from the matching object family
KfCollisionTarget	0x1a	0x06	unknown_1a	u8[6]	opaque	semantic_types.h;game_semantic_player_interactions.tsv;asm;xrefs	unaccessed tail before the next independently referenced state
KfDisplayState	0x00	0x01	buffer_index	u8	supported	semantic_types.h;game_semantic_display_tmd.tsv;asm;base-register;display_begin_frame	member of the display_state aggregate
KfDisplayState	0x01	0x03	unknown_01	u8[3]	opaque	semantic_types.h;game_semantic_display_tmd.tsv;asm;base-register;display_begin_frame	member of the display_state aggregate
KfDisplayState	0x04	0x04	asset_load_buffer	void *	supported	semantic_types.h;game_semantic_display_tmd.tsv;asm;base-register;display_begin_frame	member of the display_state aggregate
KfDisplayState	0x08	0x18	primitive_buffers	KfPrimitiveBuffer[2]	supported	semantic_types.h;game_semantic_display_tmd.tsv;asm;base-register;display_begin_frame	member of the display_state aggregate
KfDisplayState	0x20	0x04	primitive_buffer	KfPrimitiveBuffer *	supported	semantic_types.h;game_semantic_display_tmd.tsv;asm;base-register;display_begin_frame	member of the display_state aggregate
KfDisplayState	0x24	0x20000	ordering_tables	KfOrderingTable[2]	supported	semantic_types.h;game_semantic_display_tmd.tsv;asm;base-register;display_begin_frame	member of the display_state aggregate
KfDisplayState	0x20024	0x04	ordering_table	u32 *	supported	semantic_types.h;game_semantic_display_tmd.tsv;asm;base-register;display_begin_frame	member of the display_state aggregate
KfDisplayStateOpen	0x00	0x01	buffer_index	u8	supported	semantic_types.h;asm;base-register;display_begin_frame;render_initialize	member of the display_state aggregate
KfDisplayStateOpen	0x01	0x03	unknown_01	u8[3]	opaque	semantic_types.h;asm;base-register;display_begin_frame;render_initialize	member of the display_state aggregate
KfDisplayStateOpen	0x04	0x04	asset_load_buffer	void *	supported	semantic_types.h;asm;base-register;display_begin_frame;render_initialize	member of the display_state aggregate
KfDisplayStateOpen	0x08	0x18	primitive_buffers	KfPrimitiveBuffer[2]	supported	semantic_types.h;asm;base-register;display_begin_frame;render_initialize	member of the display_state aggregate
KfDisplayStateOpen	0x20	0x04	primitive_buffer	KfPrimitiveBuffer *	supported	semantic_types.h;asm;base-register;display_begin_frame;render_initialize	member of the display_state aggregate
KfDisplayStateOpen	0x24	0x20000	ordering_tables	KfOrderingTable[2]	supported	semantic_types.h;asm;base-register;display_begin_frame;render_initialize	member of the display_state aggregate
KfEffectRecord	0x00	0x01	type	u8	supported	asm;effect_pool_constructor;effect_pool_spawn_typed	0xff marks a free slot; otherwise the effect type tag
KfEffectRecord	0x01	0x01	kind	u8	supported	asm;effect_pool_constructor;effect_pool_spawn_typed	constructor dispatch selector and magic_records index
KfEffectRecord	0x02	0x01	unknown_02	u8	opaque	asm;effect_pool_constructor;effect_pool_spawn_typed	meaning unresolved
KfEffectRecord	0x03	0x01	unknown_03	u8	opaque	asm;effect_pool_constructor;effect_pool_spawn_typed	meaning unresolved
KfEffectRecord	0x04	0x01	unknown_04	u8	opaque	asm;effect_pool_constructor;effect_pool_spawn_typed	meaning unresolved
KfEffectRecord	0x05	0x01	unknown_05	u8	opaque	asm;effect_pool_constructor;effect_pool_spawn_typed	meaning unresolved
KfEffectRecord	0x06	0x01	id	u8	supported	asm;effect_pool_constructor;effect_pool_spawn_typed	owning object id passed to the constructor
KfEffectRecord	0x07	0x01	unknown_07	u8	opaque	asm;effect_pool_constructor;effect_pool_spawn_typed	byte set to 1 by map object actions 81 and 82
KfEffectRecord	0x08	0x02	unknown_08	u16	opaque	asm;effect_pool_constructor;effect_pool_spawn_typed	12-bit angle swept by map object action 83
KfEffectRecord	0x0a	0x02	unknown_0a	u16	opaque	asm;effect_pool_constructor;effect_pool_spawn_typed	meaning unresolved
KfEffectRecord	0x0c	0x10	position	VECTOR	supported	asm;effect_pool_constructor;effect_pool_spawn_typed	world position copied wholesale from the constructor argument
KfEffectRecord	0x1c	0x02	rotation_x	u16	candidate	asm;effect_pool_constructor;effect_pool_spawn_typed	first component of the 16-bit triple at 0x1c
KfEffectRecord	0x1e	0x02	rotation_y	u16	candidate	asm;effect_pool_constructor;effect_pool_spawn_typed	second component of the 16-bit triple at 0x1c; warp shimmer sweeps it as a rotation phase
KfEffectRecord	0x20	0x02	rotation_z	u16	candidate	asm;effect_pool_constructor;effect_pool_spawn_typed	third component of the 16-bit triple at 0x1c
KfEffectRecord	0x22	0x02	unknown_22	u16	opaque	asm;effect_pool_constructor;effect_pool_spawn_typed	meaning unresolved
KfEffectRecord	0x24	0x02	scale_x	u16	supported	asm;effect_pool_constructor;effect_pool_spawn_typed	scale x; constructors default it to 0x1000 (1.0 fixed point)
KfEffectRecord	0x26	0x02	scale_y	u16	supported	asm;effect_pool_constructor;effect_pool_spawn_typed	scale y; constructors default it to 0x1000; warp shimmer sweeps it as intensity
KfEffectRecord	0x28	0x02	scale_z	u16	supported	asm;effect_pool_constructor;effect_pool_spawn_typed	scale z; constructors default it to 0x1000
KfEffectRecord	0x2a	0x02	unknown_2a	u16	opaque	asm;effect_pool_constructor;effect_pool_spawn_typed	meaning unresolved
KfEffectRecord	0x2c	0x02	direction_x	u16	supported	asm;effect_pool_constructor;effect_pool_spawn_typed	direction x copied from the constructor SVECTOR argument
KfEffectRecord	0x2e	0x02	direction_y	u16	supported	asm;effect_pool_constructor;effect_pool_spawn_typed	direction y copied from the constructor SVECTOR argument
KfEffectRecord	0x30	0x02	direction_z	u16	supported	asm;effect_pool_constructor;effect_pool_spawn_typed	direction z copied from the constructor SVECTOR argument
KfEffectRecord	0x32	0x02	unknown_32	u16	opaque	asm;effect_pool_constructor;effect_pool_spawn_typed	meaning unresolved
KfEffectRecord	0x34	0x04	unknown_34	u8[4]	opaque	asm;effect_pool_constructor;effect_pool_spawn_typed	meaning unresolved
KfEffectRecord	0x38	0x02	unknown_38	u16	opaque	asm;effect_pool_constructor;effect_pool_spawn_typed	sound handle written by several effect kinds
KfEffectRecord	0x3a	0x02	unknown_3a	u16	opaque	asm;effect_pool_constructor;effect_pool_spawn_typed	meaning unresolved
KfEulerAngles	0x00	0x02	x	s16	supported	semantic_types.h;asm;xrefs	x angle
KfEulerAngles	0x02	0x02	y	s16	supported	semantic_types.h;asm;xrefs	y angle
KfEulerAngles	0x04	0x02	z	s16	supported	semantic_types.h;asm;xrefs	z angle
KfFloorEntryCell	0x00	0x1	x	u8	supported	semantic_types.h;asm;xrefs	copied into previous_map_cell.x
KfFloorEntryCell	0x01	0x1	z	u8	supported	semantic_types.h;asm;xrefs	copied into previous_map_cell.z
KfFloorItem	0x00	0x02	item_id	u16	supported	semantic_types.h;asm;func_80020b4c	item id copied from the placement record
KfFloorItem	0x02	0x01	unknown_02	u8	opaque	semantic_types.h;asm;func_80020b4c	flicker scale copied from the placement record
KfFloorItem	0x03	0x01	unknown_03	u8	opaque	semantic_types.h;asm;func_80020b4c	meaning unresolved
KfFloorItem	0x04	0x04	position_x	s32	supported	semantic_types.h;asm;func_80020b4c	world x = tile_x*2000 + local_x
KfFloorItem	0x08	0x04	position_y	s32	supported	semantic_types.h;asm;func_80020b4c	world y = local_y - floor_height*100
KfFloorItem	0x0c	0x04	position_z	s32	supported	semantic_types.h;asm;func_80020b4c	world z = tile_z*2000 + local_z
KfFloorItem	0x10	0x04	unknown_10	u8[4]	opaque	semantic_types.h;func_80020b4c	not written by the loader
KfFloorItem	0x14	0x01	flicker	u8	supported	semantic_types.h;asm;func_80020b4c	(rand() * unknown_02) >> 15
KfFloorItem	0x15	0x03	unknown_15	u8[3]	opaque	semantic_types.h;func_80020b4c	not written by the loader
KfFloorItemPlacement	0x00	0x02	item_id	u16	supported	semantic_types.h;asm;func_80020b4c	item id; 0xffff terminates the placement list
KfFloorItemPlacement	0x02	0x01	unknown_02	u8	opaque	semantic_types.h;asm;func_80020b4c	scales the random flicker value
KfFloorItemPlacement	0x03	0x01	unknown_03	u8	opaque	semantic_types.h;asm;func_80020b4c	meaning unresolved
KfFloorItemPlacement	0x04	0x01	tile_z	u8	supported	semantic_types.h;asm;func_80020b4c	map tile z (floor-height grid row)
KfFloorItemPlacement	0x05	0x01	tile_x	u8	supported	semantic_types.h;asm;func_80020b4c	map tile x (floor-height grid column)
KfFloorItemPlacement	0x06	0x02	local_z	s16	supported	semantic_types.h;asm;func_80020b4c	offset within the tile
KfFloorItemPlacement	0x08	0x02	local_x	s16	supported	semantic_types.h;asm;func_80020b4c	offset within the tile
KfFloorItemPlacement	0x0a	0x02	local_y	s16	supported	semantic_types.h;asm;func_80020b4c	height offset above the floor height grid
KfMagicRecord	0x00	0x01	learned	u8	supported	asm;player_recalculate_combat_stats;player_update	set to 1 at base_magic milestones; gates the weapon-8 spell
KfMagicRecord	0x01	0x01	charge_rate	u8	supported	asm;player_update	fixed6_ratio_step span while charging magic
KfMagicRecord	0x02	0x06	unknown_02	u8[6]	opaque	asm	meaning unresolved
KfMagicRecord	0x08	0x02	unknown_08	u16	opaque	asm;xrefs	read by func_80039a80 family; meaning unresolved
KfMagicRecord	0x0a	0x02	unknown_0a	u16	opaque	asm;xrefs	read by func_80039a80 family; meaning unresolved
KfMagicRecord	0x0c	0x04	unknown_0c	u8[4]	opaque	asm	meaning unresolved
KfMagicRecord	0x10	0x02	mp_cost	u16	supported	asm;player_update	compared with and subtracted from vitals.current_mp when casting
KfMagicRecord	0x12	0x02	unknown_12	u8[2]	opaque	asm	meaning unresolved
KfMapCell	0x00	0x01	z	u8	supported	semantic_types.h;game_semantic_player_motion_attack.tsv;asm;xrefs	map row derived from world z divided by 2000
KfMapCell	0x01	0x01	x	u8	supported	semantic_types.h;game_semantic_player_motion_attack.tsv;asm;xrefs	map column derived from world x divided by 2000
KfMapCopyRegion	0x00	0x01	source_x	u8	supported	semantic_types.h;asm;xrefs	source x
KfMapCopyRegion	0x01	0x01	source_z	u8	supported	semantic_types.h;asm;xrefs	source z
KfMapCopyRegion	0x02	0x01	destination_x	u8	supported	semantic_types.h;asm;xrefs	destination x
KfMapCopyRegion	0x03	0x01	destination_z	u8	supported	semantic_types.h;asm;xrefs	destination z
KfMapCopyRegion	0x04	0x01	width	u8	supported	semantic_types.h;asm;xrefs	region width
KfMapCopyRegion	0x05	0x01	height	u8	supported	semantic_types.h;asm;xrefs	region height
KfMapEvent	0x00	0x01	state	u8	supported	semantic_types.h;asm;xrefs	active state
KfMapEvent	0x01	0x01	kind	u8	supported	semantic_types.h;asm;xrefs	event kind
KfMapEvent	0x02	0x01	variant	u8	supported	semantic_types.h;asm;xrefs	event variant
KfMapEvent	0x03	0x05	tag	KfMapEventTag	opaque	semantic_types.h;asm;xrefs	five opaque bytes copied from the definition tag
KfMapEvent	0x08	0x01	image_limit	u8	supported	semantic_types.h;asm;xrefs	maximum image index
KfMapEvent	0x09	0x01	image_index	u8	supported	semantic_types.h;asm;xrefs	current image index
KfMapEvent	0x0a	0x01	image_dirty	u8	supported	semantic_types.h;asm;xrefs	image refresh flag
KfMapEvent	0x0b	0x01	image_delay	u8	supported	semantic_types.h;asm;xrefs	image refresh delay
KfMapEvent	0x0c	0x01	unknown_0c	u8	opaque	semantic_types.h;asm;xrefs	meaning unresolved
KfMapEvent	0x0d	0x01	unknown_0d	u8	opaque	semantic_types.h;asm;xrefs	meaning unresolved
KfMapEvent	0x0e	0x01	unknown_0e	u8	opaque	semantic_types.h;asm;xrefs	meaning unresolved
KfMapEvent	0x0f	0x01	unknown_0f	u8	opaque	semantic_types.h;asm;xrefs	meaning unresolved
KfMapEvent	0x10	0x01	unknown_10	u8	opaque	semantic_types.h;asm;xrefs	meaning unresolved
KfMapEvent	0x11	0x01	unknown_11	u8	opaque	semantic_types.h;asm;xrefs	meaning unresolved
