# MANUALLY REVIEWED - project field declarations at dafd1048; AST extraction supplies coverage, not semantic verdicts.
declaration	record	field	datatype	verdict	finding	evidence	note
include/kf/game_actor.h:235	KfActorDefinition	collision_radius	u16	numeric		include/kf/game_actor.h:235;src/game/actor.c:638;src/game/actor_behavior.c:285;src/game/actor_behavior.c:306;src/game/actor_behavior.c:371;src/game/actor_behavior.c:383;src/game/actor_behavior.c:399;src/game/actor_behavior.c:662;src/game/actor_behavior.c:764;src/game/actor_behavior.c:776;src/game/actor_behavior.c:785;src/game/actor_behavior.c:795;src/game/actor_behavior.c:1096;src/game/actor_behavior.c:1148;src/game/actor_behavior.c:1155;src/game/actor_behavior.c:1309;src/game/collision.c:118	collision radius
include/kf/game_actor.h:236	KfActorDefinition	collision_height	u16	numeric		include/kf/game_actor.h:236;src/game/actor.c:442;src/game/actor.c:486;src/game/actor.c:639;src/game/actor_behavior.c:372;src/game/actor_behavior.c:384;src/game/actor_behavior.c:400;src/game/actor_behavior.c:663;src/game/actor_behavior.c:765;src/game/actor_behavior.c:777;src/game/actor_behavior.c:786;src/game/actor_behavior.c:796;src/game/actor_behavior.c:960;src/game/actor_behavior.c:969;src/game/actor_behavior.c:976;src/game/actor_behavior.c:1097;src/game/actor_behavior.c:1310;src/game/effect_dispatch.c:522	collision height
include/kf/game_actor.h:237	KfActorDefinition	awareness_distance	u16	numeric		include/kf/game_actor.h:237;src/game/actor_behavior.c:140;src/game/actor_behavior.c:187;src/game/actor_behavior.c:1020	awareness range
include/kf/game_actor.h:238	KfActorDefinition	initial_health	u16	numeric		include/kf/game_actor.h:238;src/game/actor.c:165	spawn health
include/kf/game_actor.h:239	KfActorDefinition	effect_owner_id	u16	numeric		include/kf/game_actor.h:239;src/game/actor_behavior.c:600;src/game/actor_behavior.c:607;src/game/actor_behavior.c:611;src/game/actor_behavior.c:615	Propagates through effect construction to player damage multiplier_tenths; quantitative scale despite the ID-style name.
include/kf/game_actor.h:240	KfActorDefinition	experience_reward	u16	numeric		include/kf/game_actor.h:240;src/game/actor.c:387	passed to player_add_experience when the actor dies
include/kf/game_actor.h:241	KfActorDefinition	attack_components	u16[3]	numeric		include/kf/game_actor.h:241;src/game/actor.c:506;src/game/actor.c:507;src/game/actor.c:508	three attack components
include/kf/game_actor.h:242	KfActorDefinition	defenses	u16[5]	numeric		include/kf/game_actor.h:242;src/game/actor.c:348;src/game/actor.c:352;src/game/actor.c:356;src/game/actor.c:360;src/game/actor.c:364	five defense components
include/kf/game_actor.h:243	KfActorDefinition	gold_drop_limit	u16	numeric		include/kf/game_actor.h:243;src/game/actor_behavior.c:957	exclusive upper bound of randomized gold amount: rand * limit >> 15; object 39 behavior 0x41 credits player gold
include/kf/game_actor.h:247	KfActorDefinitionTable	entries	KfActorDefinition[12]	aggregate		include/kf/game_actor.h:247;src/game/actor.c:165;src/game/actor.c:278;src/game/actor.c:326;src/game/actor.c:435;src/game/actor.c:632;src/game/actor.c:654;src/game/collision.c:114;src/game/effect_dispatch.c:514;src/game/entity_model_render.c:48;src/game/map_load.c:176;src/game/map_load.c:177;src/game/map_load.c:178;src/game/map_load.c:179;src/game/map_load.c:180;src/game/map_scripts.c:202;src/game/map_scripts.c:203;src/game/map_scripts.c:204;src/game/map_scripts.c:205;src/game/map_scripts.c:206	Nested record/union or record array; project-owned child fields are separately listed. SDK children retain their SDK declarations.
include/kf/game_actor.h:248	KfActorDefinitionTable	words	u32[456]	encoded_storage		include/kf/game_actor.h:248;src/game/actor_pool.c:88;src/game/actor_pool.c:89	Packed/aligned copy or address view of an owning object; type semantic members separately.
include/kf/game_actor.h:254	KfActorActionProfile	far_distance	s16	numeric		include/kf/game_actor.h:254;src/game/actor.c:846	far distance threshold
include/kf/game_actor.h:255	KfActorActionProfile	far_weight	s16	numeric		include/kf/game_actor.h:255;src/game/actor.c:847	far action weight
include/kf/game_actor.h:256	KfActorActionProfile	near_distance	s16	numeric		include/kf/game_actor.h:256;src/game/actor.c:849	near distance threshold
include/kf/game_actor.h:257	KfActorActionProfile	middle_weight	s16	numeric		include/kf/game_actor.h:257;src/game/actor.c:850	middle action weight
include/kf/game_actor.h:258	KfActorActionProfile	near_weight	s16	numeric		include/kf/game_actor.h:258;src/game/actor.c:845	near action weight
include/kf/game_actor.h:270	KfActorPlacement	slot_state	KfActorSlotState	typed_enum		include/kf/game_actor.h:270;src/game/actor_pool.c:56	Same enum type is already enforced by the strict C++ view; this verdict does not certify completeness of its enumerator list.
include/kf/game_actor.h:271	KfActorPlacement	definition_flags	u8	packed_resource		include/kf/game_actor.h:271;src/game/actor_pool.c:58;src/game/actor_pool.c:59	Resource index and texture/culling bits share a byte; the decoded index is asset-relative. Preserve packed input and separate proved semantic selectors.
include/kf/game_actor.h:272	KfActorPlacement	heading_quadrant	KfActorHeadingQuadrant	typed_enum		include/kf/game_actor.h:272;src/game/actor_pool.c:64	Same enum type is already enforced by the strict C++ view; this verdict does not certify completeness of its enumerator list.
include/kf/game_actor.h:273	KfActorPlacement	tile_z	u8	numeric		include/kf/game_actor.h:273;src/game/actor_pool.c:65	map tile z
include/kf/game_actor.h:274	KfActorPlacement	tile_x	u8	numeric		include/kf/game_actor.h:274;src/game/actor_pool.c:66	map tile x
include/kf/game_actor.h:275	KfActorPlacement	spawn_chance	u8	numeric		include/kf/game_actor.h:275;src/game/actor_pool.c:67	copied to KfActor.spawn_chance
include/kf/game_actor.h:276	KfActorPlacement	death_drop_object_id	KfMapObjectId	typed_enum		include/kf/game_actor.h:276;src/game/actor_pool.c:68	Same enum type is already enforced by the strict C++ view; this verdict does not certify completeness of its enumerator list.
include/kf/game_actor.h:277	KfActorPlacement	unknown_07	u8[3]	unresolved		include/kf/game_actor.h:277	not read by the loader
include/kf/game_actor.h:278	KfActorPlacement	local_z	s16	numeric		include/kf/game_actor.h:278;src/game/actor_pool.c:69	local offset along z
include/kf/game_actor.h:279	KfActorPlacement	local_x	s16	numeric		include/kf/game_actor.h:279;src/game/actor_pool.c:70	local offset along x
include/kf/game_actor.h:280	KfActorPlacement	unknown_0e	u8[2]	unresolved		include/kf/game_actor.h:280	not read by the loader
include/kf/game_actor.h:284	KfActor	slot_state	KfActorSlotState	typed_enum		include/kf/game_actor.h:284;src/game/actor.c:94;src/game/actor.c:166;src/game/actor.c:167;src/game/actor.c:168;src/game/actor.c:233;src/game/actor.c:256;src/game/actor.c:264;src/game/actor.c:282;src/game/actor.c:727;src/game/actor.c:873;src/game/actor_behavior.c:240;src/game/actor_behavior.c:261;src/game/actor_behavior.c:962;src/game/actor_behavior.c:1041;src/game/actor_behavior.c:1043;src/game/actor_pool.c:20;src/game/actor_pool.c:52;src/game/actor_pool.c:56;src/game/actor_pool.c:57;src/game/map_events.c:219;src/game/map_scripts.c:89	Same enum type is already enforced by the strict C++ view; this verdict does not certify completeness of its enumerator list.
include/kf/game_actor.h:285	KfActor	definition_id	u8	numeric		include/kf/game_actor.h:285;src/game/actor.c:165;src/game/actor.c:263;src/game/actor.c:282;src/game/actor.c:326;src/game/actor.c:331;src/game/actor.c:435;src/game/actor.c:632;src/game/actor.c:654;src/game/actor.c:656;src/game/actor.c:704;src/game/actor_behavior.c:952;src/game/actor_behavior.c:1035;src/game/actor_pool.c:58;src/game/collision.c:114;src/game/effect_dispatch.c:514;src/game/entity_model_render.c:48;src/game/player_use_item.c:36;src/game/player_use_item.c:37;src/game/player_warp.c:284	index into actor definitions
include/kf/game_actor.h:286	KfActor	culling_mode	KfActorCullingMode	typed_enum		include/kf/game_actor.h:286;src/game/actor.c:267;src/game/actor_pool.c:60;src/game/actor_pool.c:62;src/game/render_scene.c:57	Same enum type is already enforced by the strict C++ view; this verdict does not certify completeness of its enumerator list.
include/kf/game_actor.h:287	KfActor	heading_quadrant	KfActorHeadingQuadrant	typed_enum		include/kf/game_actor.h:287;src/game/actor.c:169;src/game/actor_behavior.c:1221;src/game/actor_pool.c:64	Same enum type is already enforced by the strict C++ view; this verdict does not certify completeness of its enumerator list.
include/kf/game_actor.h:288	KfActor	tile_z	u8	numeric		include/kf/game_actor.h:288;src/game/actor.c:193;src/game/actor.c:216;src/game/actor.c:265;src/game/actor_behavior.c:284;src/game/actor_behavior.c:305;src/game/actor_behavior.c:1216;src/game/actor_pool.c:65;src/game/actor_pool.c:72;src/game/actor_pool.c:76;src/game/map_scripts.c:90	map tile z; world position.z = tile_z * 2000 + local_z (actor_initialize_slot, actor_pool_load_placements)
include/kf/game_actor.h:289	KfActor	tile_x	u8	numeric		include/kf/game_actor.h:289;src/game/actor.c:189;src/game/actor.c:212;src/game/actor.c:266;src/game/actor_behavior.c:282;src/game/actor_behavior.c:303;src/game/actor_behavior.c:1215;src/game/actor_pool.c:66;src/game/actor_pool.c:73;src/game/actor_pool.c:75;src/game/map_scripts.c:89	map tile x; world position.x = tile_x * 2000 + local_x
include/kf/game_actor.h:290	KfActor	lifecycle	KfActorLifecycle	typed_enum		include/kf/game_actor.h:290;src/game/actor.c:157;src/game/actor.c:211;src/game/actor.c:234;src/game/actor.c:283;src/game/actor.c:287;src/game/actor.c:426;src/game/actor.c:534;src/game/actor.c:620;src/game/actor.c:873;src/game/actor_behavior.c:265;src/game/actor_behavior.c:315;src/game/actor_behavior.c:329;src/game/actor_behavior.c:344;src/game/actor_behavior.c:821;src/game/actor_behavior.c:1042;src/game/actor_behavior.c:1044;src/game/actor_behavior.c:1046;src/game/actor_pool.c:22;src/game/actor_pool.c:53;src/game/actor_pool.c:71;src/game/map_events.c:222;src/game/map_load.c:72;src/game/map_load.c:145;src/game/map_scripts.c:122;src/game/render_scene.c:54	Same enum type is already enforced by the strict C++ view; this verdict does not certify completeness of its enumerator list.
include/kf/game_actor.h:291	KfActor	spawn_chance	u8	numeric		include/kf/game_actor.h:291;src/game/actor_behavior.c:280;src/game/actor_behavior.c:300;src/game/actor_pool.c:67	placement chance shifted by 7 and compared with rand in actor awareness
include/kf/game_actor.h:292	KfActor	action	KfActorAction	typed_enum		include/kf/game_actor.h:292;src/game/actor.c:163;src/game/actor.c:242;src/game/actor.c:339;src/game/actor.c:342;src/game/actor.c:378;src/game/actor.c:429;src/game/actor.c:537;src/game/actor.c:623;src/game/actor.c:626;src/game/actor.c:723;src/game/actor.c:724;src/game/actor.c:762;src/game/actor.c:763;src/game/actor.c:805;src/game/actor.c:806;src/game/actor.c:842;src/game/actor.c:843;src/game/actor_behavior.c:119;src/game/actor_behavior.c:245;src/game/actor_behavior.c:865;src/game/actor_behavior.c:980;src/game/actor_behavior.c:997	Same enum type is already enforced by the strict C++ view; this verdict does not certify completeness of its enumerator list.
include/kf/game_actor.h:293	KfActor	death_drop_object_id	KfMapObjectId	typed_enum		include/kf/game_actor.h:293;src/game/actor_behavior.c:971;src/game/actor_behavior.c:974;src/game/actor_pool.c:68	Same enum type is already enforced by the strict C++ view; this verdict does not certify completeness of its enumerator list.
include/kf/game_actor.h:294	KfActor	animation_id	KfAnimationClip	typed_enum		include/kf/game_actor.h:294;src/game/actor.c:158;src/game/actor_behavior.c:691;src/game/actor_behavior.c:869;src/game/actor_behavior.c:877;src/game/actor_behavior.c:878;src/game/actor_behavior.c:892;src/game/actor_behavior.c:893;src/game/actor_behavior.c:927;src/game/actor_behavior.c:947;src/game/actor_behavior.c:988;src/game/actor_behavior.c:989;src/game/actor_behavior.c:1013;src/game/actor_behavior.c:1055;src/game/actor_behavior.c:1120;src/game/actor_behavior.c:1144;src/game/actor_behavior.c:1168;src/game/actor_behavior.c:1204;src/game/actor_behavior.c:1205;src/game/actor_behavior.c:1224;src/game/actor_behavior.c:1230;src/game/actor_behavior.c:1247;src/game/entity_model_render.c:53	Same enum type is already enforced by the strict C++ view; this verdict does not certify completeness of its enumerator list.
include/kf/game_actor.h:295	KfActor	vertical_state	KfActorVerticalState	typed_enum		include/kf/game_actor.h:295;src/game/actor.c:162;src/game/actor.c:379;src/game/actor_behavior.c:375;src/game/actor_behavior.c:431;src/game/actor_behavior.c:432;src/game/actor_behavior.c:435;src/game/actor_behavior.c:436;src/game/actor_behavior.c:444;src/game/actor_behavior.c:445;src/game/actor_behavior.c:448;src/game/actor_behavior.c:449;src/game/actor_behavior.c:1059;src/game/actor_behavior.c:1063;src/game/actor_behavior.c:1089;src/game/actor_behavior.c:1090;src/game/actor_behavior.c:1101;src/game/actor_behavior.c:1174;src/game/actor_behavior.c:1277;src/game/actor_behavior.c:1288;src/game/actor_behavior.c:1318;src/game/actor_behavior.c:1327	Same enum type is already enforced by the strict C++ view; this verdict does not certify completeness of its enumerator list.
include/kf/game_actor.h:296	KfActor	unknown_0c	u8[2]	unresolved		include/kf/game_actor.h:296	meaning unresolved
include/kf/game_actor.h:297	KfActor	local_z	s16	numeric		include/kf/game_actor.h:297;src/game/actor.c:195;src/game/actor.c:218;src/game/actor_behavior.c:284;src/game/actor_behavior.c:305;src/game/actor_behavior.c:1216;src/game/actor_pool.c:69;src/game/actor_pool.c:72	local offset along z added to tile_z * 2000
include/kf/game_actor.h:298	KfActor	local_x	s16	numeric		include/kf/game_actor.h:298;src/game/actor.c:191;src/game/actor.c:214;src/game/actor_behavior.c:282;src/game/actor_behavior.c:303;src/game/actor_behavior.c:1215;src/game/actor_pool.c:70;src/game/actor_pool.c:73	local offset along x added to tile_x * 2000
include/kf/game_actor.h:299	KfActor	animation_phase	u16	numeric		include/kf/game_actor.h:299;src/game/actor.c:159;src/game/actor.c:339;src/game/actor.c:667;src/game/actor.c:680;src/game/actor.c:681;src/game/actor.c:683;src/game/actor.c:685;src/game/actor.c:692;src/game/actor.c:693;src/game/actor_behavior.c:692;src/game/actor_behavior.c:698;src/game/actor_behavior.c:818;src/game/actor_behavior.c:819;src/game/actor_behavior.c:829;src/game/actor_behavior.c:837;src/game/actor_behavior.c:870;src/game/actor_behavior.c:879;src/game/actor_behavior.c:894;src/game/actor_behavior.c:928;src/game/actor_behavior.c:932;src/game/actor_behavior.c:948;src/game/actor_behavior.c:979;src/game/actor_behavior.c:981;src/game/actor_behavior.c:990;src/game/actor_behavior.c:1014;src/game/actor_behavior.c:1018;src/game/actor_behavior.c:1019;src/game/actor_behavior.c:1022;src/game/actor_behavior.c:1056;src/game/actor_behavior.c:1070;src/game/actor_behavior.c:1071;src/game/actor_behavior.c:1072;src/game/actor_behavior.c:1121;src/game/actor_behavior.c:1125;src/game/actor_behavior.c:1126;src/game/actor_behavior.c:1129;src/game/actor_behavior.c:1145;src/game/actor_behavior.c:1169;src/game/actor_behavior.c:1206;src/game/actor_behavior.c:1229;src/game/actor_behavior.c:1248;src/game/actor_behavior.c:1263;src/game/actor_behavior.c:1320;src/game/entity_model_render.c:54	animation phase/progress
include/kf/game_actor.h:300	KfActor	health	u16	numeric		include/kf/game_actor.h:300;src/game/actor.c:165;src/game/actor.c:335;src/game/actor.c:371;src/game/actor.c:382;src/game/actor.c:397	current actor health
