# Reviewed semantic identities for the shared GAME/OPEN display and TMD family.
# Every row was checked with image-qualified kf sema addr/disasm --blocks/xref/strings/match,
# adjacent boundaries, callers/callees, Ghidra candidates, source/history, and FID/vendor controls.
# Cross-overlay instruction shape supports common source lineage but does not establish TU ownership.
image	va	extent	family	current_match	body_and_cfg	call_and_data_evidence	signature_evidence	vendor_negative_control	final_name	final_signature	verdict
GAME.EXE	0x8001c5b0	0x3c	tmd-register	100.000000000% exact	15-word wrapper indexes the TMD pointer table, stores and selects the payload, then calls the preparation pass	writes tmd_slots and current_asset_data and calls tmd_prepare_primitive_indices	a0 is truncated to u16 for the slot; a1 is stored as the payload pointer; no result escapes	absent from vendored/FID inventories	tmd_register	void tmd_register(KfTmdSlot slot, u8 *tmd)	supported two-argument contract and call/data order
GAME.EXE	0x8001c5ec	0x20	tmd-lifetime	100.000000000% exact	eight-word wrapper calls the reviewed LIFO allocator release and returns	called after TMD/resource lifetime ends and calls memory_release_last	the sole GAME caller passes literal slot 4 in the jal delay slot; the body does not consume a0, so the parameter purpose/width remains candidate	absent from vendored/FID inventories; allocator callee is game-owned	tmd_release_last_allocation	void tmd_release_last_allocation(KF_ENUM_PARAM(KfTmdSlot, s32) slot)	supported action with candidate unused call contract; adjacency does not by itself prove TU ownership
OPEN.EXE	0x80016908	0x1d4	render-init	100.000000000% exact	initializer allocates a render arena, constructs two primitive-buffer ranges, clears display selection, and installs texture/color/matrix defaults	writes primitive_buffers, primitive_buffer, display environments, TMD/render state, and calls the reviewed allocator plus Psy-Q GPU/GTE services	no live input is consumed and no result escapes	absent from vendored/FID inventories; linked Psy-Q calls are individually identified callees	render_initialize	void render_initialize(void)	supported behavior and complete primitive-buffer extents; the smaller overlay-specific body is not claimed byte-identical to GAME
OPEN.EXE	0x80016d38	0x98	display-frame	100.000000000% exact	38-word body toggles the byte selector, indexes a 0x0c record, derives the ordering-table pointer, clears 0x4000 entries, resets cursor, and clears frame counters	reads display_buffer_index and primitive_buffers; writes primitive_buffer and ordering_table; calls ClearOTagR	no live input is consumed and no result escapes	absent from vendored/FID inventories; ClearOTagR is the linked Psy-Q callee	display_begin_frame	void display_begin_frame(void)	supported by complete CFG/data flow and 38-of-38 cross-overlay instruction shape
OPEN.EXE	0x80016dd0	0x98	display-frame	100.000000000% exact	38-word linear frame submission waits for DrawSync and VSync, indexes DRAWENV by 0x5c and DISPENV by 0x14, then submits ordering_table minus one word	calls DrawSync, VSync, PutDrawEnv, PutDispEnv, and DrawOTag; accesses the selected environment arrays and ordering table	all call arguments are synthesized from globals and constants; no result escapes	game wrapper is absent from vendored/FID inventories; all five service calls are SDK boundaries	display_present_frame	void display_present_frame(void)	supported by call order, environment strides, referents, and 38-of-38 cross-overlay instruction shape
OPEN.EXE	0x80016e68	0x2c	tmd-access	100.000000000% exact	11-word leaf masks the selector to sixteen bits, indexes a four-byte pointer table, and stores the selected payload	reads tmd_slots and writes current_asset_data	a0 is truncated with an unsigned halfword operation before pointer indexing; no result escapes	absent from vendored/FID inventories; this is game registry policy	tmd_select	void tmd_select(KfTmdSlot slot)	supported slot width and table action; OPEN table extent proves two entries
OPEN.EXE	0x80016e94	0x24	tmd-access	100.000000000% exact	nine-word leaf computes current payload plus 0x0c plus object_index times 0x1c	reads current_asset_data; consumers use returned fields at the standard TMD object offsets	a0 is treated as an unsigned object index and v0 returns the computed object pointer	absent from vendored/FID inventories; record layout is corroborated by Psy-Q TMD format evidence	tmd_get_object	KfTmdObject * tmd_get_object(u16 object_index)	supported 0x1c complete record stride and pointer return
OPEN.EXE	0x80016eb8	0x10	tmd-current-vertices	100.000000000% exact	four-word leaf stores its pointer argument and returns	writes current_tmd_vertices; consumers index eight-byte SVECTOR-shaped entries	a0 is stored unchanged as a pointer and no result escapes	absent from vendored/FID inventories	tmd_set_current_vertices	void tmd_set_current_vertices(SVECTOR *vertices)	supported pointer action and element width
OPEN.EXE	0x80016ec8	0x3c	tmd-current-vertices	100.000000000% exact	15-word wrapper obtains one object, loads vertex_offset at +0x00, rebases it against the current TMD object-table base, and stores the current vertex cursor	calls tmd_get_object and accesses current_asset_data plus current_tmd_vertices	a0 is forwarded as the u16 object index; no result escapes	absent from vendored/FID inventories	tmd_select_object_vertices	void tmd_select_object_vertices(u16 object_index)	supported object field and cross-overlay data flow
OPEN.EXE	0x80016f04	0x12c	render-view	100.000000000% exact	75-word CFG independently accepts nullable position and rotation inputs; the rotation branch guards only the 8-byte copy, while the first RotMatrix call and zeroing of the derived angles execute unconditionally	reads/writes the persistent view vectors and render matrices and calls RotMatrix twice	callers pass a four-word position at a0 and a four-halfword rotation at a1 or null for either; no result escapes	absent from vendored/FID inventories; RotMatrix is the linked Psy-Q callee	render_set_view_transform	void render_set_view_transform(const VECTOR *position, const SVECTOR *rotation)	supported nullable typed inputs, exact branch scope, divisions, call order, and exact C reconstruction
OPEN.EXE	0x80017030	0x300	tmd-prepare	98.333336000% fuzzy	192-word nested loops walk object_count, 0x1c-byte object records, and variable-length primitive packets through a mode jump table; selected u16 indices are shifted left three in place	reads current_asset_data header object_count and each KfTmdObject primitive_offset/count; advances packets by the primitive ilen byte; all seven internal jump relocations are reviewed	no live input is consumed; all state comes from the selected TMD; no result escapes	absent from vendored/FID inventories; packet/object formats are standard TMD data while the mutating preparation loop is game-owned	tmd_prepare_primitive_indices	void tmd_prepare_primitive_indices(void)	100.000000000% exact; a real by-value KfTmdPacketHeader supplies both retail's word mode load and byte input-length load while retaining the otherwise empty eight-byte aggregate frame; all 768 bytes, referents and known CFG agree
OPEN.EXE	0x80017330	0x3c	tmd-register	100.000000000% exact	15-word wrapper indexes the TMD pointer table, stores and selects the payload, then calls the preparation pass	writes tmd_slots and current_asset_data and calls tmd_prepare_primitive_indices	a0 is truncated to u16 for the slot; a1 is stored as the payload pointer; no result escapes	absent from vendored/FID inventories	tmd_register	void tmd_register(KfTmdSlot slot, u8 *tmd)	supported two-argument contract and call/data order
OPEN.EXE	0x8001736c	0x20	tmd-lifetime	100.000000000% exact	eight-word wrapper calls the reviewed LIFO allocator release and returns	calls memory_release_last; no confirmed OPEN caller is present	no live input is consumed; identical GAME/OPEN instruction shape supports carrying the candidate unused s32 slot contract	absent from vendored/FID inventories; allocator callee is game-owned	tmd_release_last_allocation	void tmd_release_last_allocation(KF_ENUM_PARAM(KfTmdSlot, s32) slot)	supported action with candidate cross-overlay call contract; adjacency does not by itself prove TU ownership
