# Reviewed complete code-section matches too small for the 32-byte section matcher.
image	va	object_size	library	module	name	note
OPEN.EXE	0x80030130	0x10	LIBAPI.LIB	A61	putchar	all 16 member bytes match, including the return delay slot and member padding
GAME.EXE	0x800502fc	0x10	LIBAPI.LIB	A65	format	all 16 member bytes match, including the return delay slot and member padding
GAME.EXE	0x800502cc	0x10	LIBAPI.LIB	A69	delete	all 16 member bytes match, including the return delay slot and member padding
GAME.EXE	0x8005037c	0x10	LIBAPI.LIB	A74	InitCARD	all 16 member bytes match, including the return delay slot and member padding
GAME.EXE	0x8005041c	0x10	LIBAPI.LIB	A75	StartCARD	all 16 member bytes match, including the return delay slot and member padding
GAME.EXE	0x8005039c	0x10	LIBAPI.LIB	A76	StopCARD	all 16 member bytes match, including the return delay slot and member padding
GAME.EXE	0x800504ac	0x10	LIBAPI.LIB	A80	_new_card	all 16 member bytes match, including the return delay slot and member padding
GAME.EXE	0x8005042c	0x10	LIBAPI.LIB	C112	_bu_init	all 16 member bytes match, including the return delay slot and member padding
GAME.EXE	0x8005024c	0x10	LIBAPI.LIB	C171	_card_info	all 16 member bytes match, including the return delay slot and member padding
GAME.EXE	0x8005028c	0x10	LIBAPI.LIB	C173	_card_auto	all 16 member bytes match, including the return delay slot and member padding
GAME.EXE	0x8005033c	0x10	LIBAPI.LIB	C19	setjmp	all 16 member bytes match, including the return delay slot and member padding
OPEN.EXE	0x800300a0	0x10	LIBAPI.LIB	C19	setjmp	all 16 member bytes match, including the return delay slot and member padding
GAME.EXE	0x800503dc	0x10	LIBAPI.LIB	C20	longjmp	all 16 member bytes match, including the return delay slot and member padding
OPEN.EXE	0x80030120	0x10	LIBAPI.LIB	C20	longjmp	all 16 member bytes match, including the return delay slot and member padding
GAME.EXE	0x8005031c	0x10	LIBAPI.LIB	C21	strcat	all 16 member bytes match, including the return delay slot and member padding
OPEN.EXE	0x80030080	0x10	LIBAPI.LIB	C21	strcat	all 16 member bytes match, including the return delay slot and member padding
GAME.EXE	0x8005034c	0x10	LIBAPI.LIB	C23	strcmp	all 16 member bytes match, including the return delay slot and member padding
OPEN.EXE	0x800300b0	0x10	LIBAPI.LIB	C23	strcmp	all 16 member bytes match, including the return delay slot and member padding
GAME.EXE	0x800503fc	0x10	LIBAPI.LIB	C24	strncmp	all 16 member bytes match, including the return delay slot and member padding
OPEN.EXE	0x80030140	0x10	LIBAPI.LIB	C24	strncmp	all 16 member bytes match, including the return delay slot and member padding
GAME.EXE	0x8005036c	0x10	LIBAPI.LIB	C25	strcpy	all 16 member bytes match, including the return delay slot and member padding
OPEN.EXE	0x800300d0	0x10	LIBAPI.LIB	C25	strcpy	all 16 member bytes match, including the return delay slot and member padding
GAME.EXE	0x800555c0	0x10	LIBAPI.LIB	C27	strlen	all 16 member bytes match, including the return delay slot and member padding
OPEN.EXE	0x800352a4	0x10	LIBAPI.LIB	C27	strlen	all 16 member bytes match, including the return delay slot and member padding
GAME.EXE	0x8005030c	0x10	LIBAPI.LIB	C43	memset	all 16 member bytes match, including the return delay slot and member padding
OPEN.EXE	0x80030070	0x10	LIBAPI.LIB	C43	memset	all 16 member bytes match, including the return delay slot and member padding
GAME.EXE	0x800555d0	0x10	LIBAPI.LIB	C44	memmove	all 16 member bytes match, including the return delay slot and member padding
OPEN.EXE	0x800352b4	0x10	LIBAPI.LIB	C44	memmove	all 16 member bytes match, including the return delay slot and member padding
GAME.EXE	0x800555b0	0x10	LIBAPI.LIB	C46	memchr	all 16 member bytes match, including the return delay slot and member padding
OPEN.EXE	0x80035294	0x10	LIBAPI.LIB	C46	memchr	all 16 member bytes match, including the return delay slot and member padding
GAME.EXE	0x8005049c	0x10	LIBAPI.LIB	C47	rand	all 16 member bytes match, including the return delay slot and member padding
OPEN.EXE	0x800301a0	0x10	LIBAPI.LIB	C47	rand	all 16 member bytes match, including the return delay slot and member padding
GAME.EXE	0x8005048c	0x10	LIBAPI.LIB	C52	free	all 16 member bytes match, including the return delay slot and member padding
OPEN.EXE	0x80030190	0x10	LIBAPI.LIB	C52	free	all 16 member bytes match, including the return delay slot and member padding
GAME.EXE	0x8005032c	0x10	LIBAPI.LIB	C63	printf	all 16 member bytes match, including the return delay slot and member padding
OPEN.EXE	0x80030090	0x10	LIBAPI.LIB	C63	printf	all 16 member bytes match, including the return delay slot and member padding
GAME.EXE	0x80052990	0x10	LIBAPI.LIB	C73	GPU_cw	all 16 member bytes match, including the return delay slot and member padding
OPEN.EXE	0x80032674	0x10	LIBAPI.LIB	C73	GPU_cw	all 16 member bytes match, including the return delay slot and member padding
